Title,RankOverall,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,NumAwardsHonors,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes,GameCategory_1,RankCategory_1,ScoreCategory_1,Mechanics,AmazonPrice,GameCategory_2,RankCategory_2,ScoreCategory_2,GameCategory_3,RankCategory_3,ScoreCategory_3
Java ,1284,2000,3439,7.01012,6.44888,1.30154,3.3856,376,3580,1,2,4,3,3.0,61,Strategy ,697,6.56907,"Action Points
Area Majority / Influence
Layering
Tile Placement
",Unknown,,,,,,
The Thing: The Boardgame ,1285,2022,1720,7.70888,6.44866,1.49643,2.9559,68,4358,2,5,8,7,8.0,77,Thematic,220,6.77091,"Hidden Roles
Semi-Cooperative Game
Traitor Game
Voting
",$149.99,,,,,,
The Magic Labyrinth ,1286,2009,5879,6.81905,6.44849,1.21058,1.2206,204,23302,16,2,4,3,4.0,56,Children's ,17,6.78135,"Dice Rolling
Grid Movement
Memory
Network and Route Building
Roll / Spin and Move
",Unknown,Family ,371,6.52782,,,
Zombie Teenz Evolution ,1287,2020,1543,7.72075,6.44847,1.28785,1.4483,29,20598,9,2,4,3,4.0,23,Family ,289,6.64533,"Action Points
Cooperative Game
Dice Rolling
Events
Legacy Game
Pick-up and Deliver
",$24.99,,,,,,
Maglev Metro ,1288,2021,2310,7.27365,6.44845,1.24578,2.7818,55,6655,1,2,4,3,3.0,51,Strategy ,675,6.59698,"End Game Bonuses
Hexagon Grid
Network and Route Building
Pick-up and Deliver
Tile Placement
",$60.99,,,,,,
Dungeon Twister ,1289,2004,5999,6.80718,6.44824,1.51713,2.8867,697,9890,5,2,2,2,2.0,64,Strategy ,774,6.49778,"Action Points
Card Play Conflict Resolution
Grid Movement
Hand Management
Map Deformation
Modular Board
",Unknown,,,,,,
Back to the Future: Back in Time ,1290,2020,2561,7.2657,6.44789,1.26928,2.381,63,5689,1,1,4,2,2.0,48,Thematic,263,6.69138,"Cooperative Game
Dice Rolling
Push Your Luck
Variable Player Powers
",$14.19,,,,,,
Ultimate Werewolf: Ultimate Edition ,1291,2008,4033,6.97909,6.44782,1.75167,1.4877,162,20342,1,8,25,11,16.0,46,Party ,70,6.65607,"Hidden Roles
Player Elimination
Role Playing
Roles with Asymmetric Information
Team-Based Game
Traitor Game
",Unknown,,,,,,
Rise of Tribes ,1292,2018,2971,7.14334,6.44754,1.28983,2.177,113,7711,0,2,4,3,4.0,59,Strategy ,721,6.545,"Area Majority / Influence
Dice Rolling
Events
Modular Board
Race
Variable Player Powers
",Unknown,,,,,,
Elfenland ,1293,1998,8799,6.68415,6.44738,1.25362,2.1547,711,15369,4,3,6,4,4.0,111,Family ,396,6.50073,"Hand Management
Network and Route Building
Open Drafting
Point to Point Movement
",Unknown,,,,,,
