Title,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes
Galaxy Trucker (Second Edition) ,2021,3729,7.52342,6.80269,1.25952,2.3521,71,13610,2,4,3,4,50
Disney Villainous: Wicked to the Core ,2019,4146,7.5603,6.80201,1.28376,2.383,47,3126,2,3,3,3,29
Mr. Jack ,2006,17596,6.98025,6.80132,1.24413,2.1734,1159,55060,2,2,2,2,196
Summoner Wars ,2009,6551,7.23146,6.79785,1.56873,2.3387,310,26131,2,2,2,2,99
Belfort ,2011,6313,7.22017,6.79697,1.2437,3.0464,388,12375,2,5,4,4,157
Creature Comforts ,2022,4036,7.52318,6.79664,1.27503,2.3494,166,12359,1,4,2,2,139
Elder Sign ,2011,24765,6.96941,6.79461,1.39816,2.3439,1137,74339,1,4,4,4,443
A Fake Artist Goes to New York ,2011,7559,7.15049,6.79438,1.26682,1.136,125,34175,5,10,6,7,73
Telestrations: 12 Player Party Pack ,2011,2833,7.73846,6.79375,1.39048,1.0698,43,9480,6,12,12,12,33
Project: ELITE ,2020,2179,8.02078,6.79107,1.37413,2.4,45,6445,2,6,4,4,51
Chronicles of Crime: 1400 ,2020,3350,7.77341,6.79071,1.29459,2.0345,58,6914,1,3,2,2,44
Cuba ,2007,8267,7.1303,6.79039,1.2504,3.2614,765,13658,2,5,4,4,146
Earth Reborn ,2010,3349,7.6226,6.78869,1.64953,3.8914,304,6836,2,4,2,2,88
Torres ,1999,9544,7.0927,6.78664,1.28596,2.8599,835,16262,2,4,4,4,128
Escape: The Curse of the Temple ,2012,16730,6.96513,6.78546,1.40997,1.4782,688,87145,1,5,4,4,194
Detective: City of Angels ,2019,2356,7.90655,6.78452,1.41113,2.2931,58,7799,1,5,3,4,71
Disney Villainous: Evil Comes Prepared ,2019,3872,7.57148,6.78439,1.27787,2.3409,44,2681,2,3,3,3,28
Luna ,2010,4992,7.29964,6.78419,1.30453,3.3387,313,11511,1,4,4,4,95
Civilization: A New Dawn ,2017,6409,7.26432,6.78416,1.30763,3.1624,234,13220,2,4,4,4,107
Warp's Edge ,2020,2765,7.75212,6.78384,1.16541,2.4216,102,14980,1,1,1,1,49
Cribbage ,1630,9716,7.08545,6.7833,1.57668,1.9028,576,105124,2,4,2,2,147
Dixit: Journey ,2012,4529,7.39277,6.7833,1.33235,1.2595,131,8443,4,6,5,6,29
Yellow & Yangtze ,2018,2435,7.84347,6.78325,1.29503,3.1087,92,6263,2,4,4,4,65
Shadows of Brimstone: Swamps of Death ,2014,2408,8.04072,6.78251,1.62788,3.4023,87,4841,1,4,4,4,19
Exit: The Game – The Pharaoh's Tomb ,2016,6400,7.17422,6.78247,1.50468,2.7595,79,6535,1,4,2,2,80
Mexica ,2002,5751,7.24739,6.78209,1.17128,2.6942,399,9233,2,4,4,4,89
Merv: The Heart of the Silk Road ,2020,3461,7.54122,6.78118,1.21648,3.462,184,9030,2,4,4,4,126
The Oracle of Delphi ,2016,5036,7.29342,6.78101,1.27632,3.0143,140,18105,2,4,3,4,74
Churchill ,2015,2951,7.6682,6.78091,1.45749,3.3425,219,5600,3,3,3,3,109
Trails of Tucana ,2019,4075,7.41014,6.78076,1.09399,1.2596,104,40781,1,8,3,5,65
Feudum ,2018,3610,7.61687,6.78041,1.77302,4.5919,544,6915,2,5,4,4,108
Azul: Queen's Garden ,2021,3741,7.52412,6.77984,1.3569,2.973,148,20360,2,4,2,2,48
Treasure Island ,2018,5941,7.24275,6.77979,1.28242,2.243,107,11545,3,5,4,4,87
Yamataï ,2017,6463,7.19448,6.77895,1.2904,2.9415,171,13343,2,4,2,2,146
The Magnificent ,2019,3409,7.54573,6.77882,1.15789,3.1273,165,10385,1,4,2,2,104
AuZtralia ,2018,4555,7.36685,6.77792,1.32078,2.8876,169,12786,1,4,3,3,128
Myrmes ,2012,5490,7.26369,6.77774,1.29764,3.4478,335,11016,2,4,4,4,89
Smash Up: Awesome Level 9000 ,2013,6969,7.22348,6.77772,1.35232,2.1271,181,5632,2,2,3,,31
Golem ,2021,3147,7.6173,6.77671,1.32814,3.9906,213,9048,1,4,2,3,82
My Father's Work ,2022,2366,7.94156,6.77589,1.58778,3.1263,95,4953,2,4,3,3,60
Ascension: Deckbuilding Game ,2010,13218,7.03303,6.77432,1.39659,2.142,676,146891,2,4,2,2,226
Prêt-à-Porter ,2010,4656,7.34092,6.77414,1.32909,3.5594,261,9531,2,4,4,4,95
Tokaido ,2012,25028,6.9378,6.77307,1.36808,1.7473,827,71943,2,5,4,4,303
D-Day at Omaha Beach ,2009,1810,8.28911,6.77288,1.37319,3.4673,214,3796,1,2,1,1,84
Defenders of the Realm ,2010,5456,7.28163,6.77281,1.41133,2.7114,350,14865,1,4,4,4,108
Arkwright ,2014,2437,7.80855,6.77248,1.50373,4.588,267,5069,2,4,4,4,77
Fury of Dracula (Second Edition) ,2005,9244,7.09811,6.77147,1.44581,2.953,958,13260,2,5,5,5,301
Leaving Earth ,2015,2808,7.74811,6.77126,1.55383,3.7166,187,6951,1,4,1,1,140
Tash-Kalar: Arena of Legends ,2013,6954,7.16418,6.76898,1.52964,2.8405,301,25297,2,4,2,2,146
Love Letter: Batman ,2015,5561,7.26861,6.76731,1.30193,1.194,134,25471,2,4,4,4,57
ZhanGuo ,2014,3179,7.56453,6.76695,1.27922,3.8355,231,7011,2,4,4,4,62
Weather Machine ,2022,2512,7.87708,6.76625,1.61359,4.5699,386,7455,1,4,3,3,159
Whistle Mountain ,2020,2948,7.62852,6.76612,1.25473,2.9868,76,6812,2,4,3,3,68
Century: A New World ,2019,4649,7.34295,6.76608,1.11743,2.1,90,12510,2,4,3,3,48
Wir sind das Volk! ,2014,2465,7.79968,6.76592,1.30506,3.7302,189,8046,2,2,2,2,55
Trismegistus: The Ultimate Formula ,2019,3314,7.60503,6.76523,1.50876,4.1688,320,9129,1,3,2,2,122
Carcassonne: The Castle ,2003,8181,7.10137,6.76427,1.27513,1.9835,729,26094,2,2,2,2,82
Specter Ops ,2015,6321,7.18311,6.763,1.27442,2.392,176,11255,2,5,3,3,131
Bloodborne: The Board Game ,2021,3103,7.83409,6.76294,1.64344,3.0431,116,10766,1,3,1,2,89
Oh My Goods! ,2015,12253,6.99899,6.76274,1.19566,2.2979,282,52313,2,4,2,2,136
Onirim (Second Edition) ,2014,10014,7.04951,6.76272,1.34988,1.5894,263,107529,1,2,1,1,152
Sub Terra ,2017,4881,7.38603,6.76072,1.40734,2.1589,107,14917,1,6,4,4,107
The Witcher: Old World ,2023,2734,8.19176,6.76048,1.81203,2.8833,180,5002,1,3,2,3,189
Space Hulk: Death Angel – The Card Game ,2010,13213,7.00327,6.76042,1.37958,2.4147,791,35635,1,5,1,1,330
Dragon Castle ,2017,7461,7.13107,6.76038,1.17795,1.971,138,27892,2,4,2,2,94
Steampunk Rally ,2015,6646,7.16926,6.75969,1.30949,2.6157,216,14374,2,7,3,4,93
The Estates ,2018,3683,7.43163,6.75925,1.39529,2.3226,62,10713,3,5,4,4,58
City of the Big Shoulders ,2019,2517,7.78111,6.75909,1.51771,4.0196,153,8731,2,4,4,4,58
Ashes Reborn: Rise of the Phoenixborn ,2015,5920,7.287,6.75799,1.46678,2.905,179,20562,2,2,2,2,103
My Little Scythe ,2017,5444,7.26369,6.75752,1.30605,2.0088,113,18985,1,6,4,4,73
The Networks ,2016,6338,7.16484,6.75702,1.18515,2.5868,121,14112,1,5,4,4,69
BANG! The Dice Game ,2013,23622,6.90555,6.75647,1.31543,1.2793,734,108737,5,8,6,7,363
Lacrimosa ,2022,2545,7.78886,6.75644,1.1109,3.1439,139,7020,1,4,3,3,85
Thunderstone Advance: Towers of Ruin ,2012,4725,7.33389,6.75603,1.41476,2.7459,244,12178,1,4,3,3,94
Warhammer Quest: The Adventure Card Game ,2015,5393,7.31503,6.75367,1.31044,2.724,192,14294,1,4,4,4,107
Villagers ,2019,6951,7.17433,6.75267,1.24806,2.1923,156,28690,1,4,3,3,127
Vegas Showdown ,2005,6313,7.15661,6.7525,1.16737,2.3555,647,18463,3,5,5,5,134
Century: Eastern Wonders ,2018,7155,7.13614,6.75236,1.13507,2.0977,133,17580,2,4,4,4,76
K2 ,2010,10318,7.01785,6.75062,1.24848,2.2544,574,26163,1,5,3,4,194
Advanced Squad Leader: Starter Kit #1 ,2004,2621,7.84475,6.749,1.63599,3.7678,379,6220,1,2,2,2,54
Wits & Wagers ,2005,14917,6.92717,6.74616,1.27958,1.2097,782,52780,4,7,6,7,133
Yspahan ,2006,8071,7.06767,6.74569,1.19183,2.3693,880,29707,2,4,3,4,187
Diplomacy ,1959,13068,7.03528,6.74566,1.91728,3.3402,1167,10184,6,7,7,7,302
Unlock!: Timeless Adventures ,2019,2323,7.79993,6.74552,1.18096,2.0588,17,7044,1,4,2,2,20
The Bloody Inn ,2015,8881,7.05679,6.74539,1.23751,2.3636,297,26026,1,4,4,4,149
Between Two Cities ,2015,10907,6.99013,6.74537,1.21012,1.8139,360,41023,3,7,5,6,149
Wallenstein ,2002,3612,7.46008,6.74472,1.45053,3.308,461,7268,3,5,5,5,60
New York Zoo ,2020,6876,7.13014,6.74428,1.1497,1.9713,174,26829,1,4,3,3,104
Coal Baron ,2013,4738,7.28849,6.74395,1.11989,2.5477,283,10821,2,4,3,4,79
Ticket to Ride: Rails & Sails ,2016,4250,7.42515,6.74355,1.42454,2.5059,85,11882,2,5,4,4,38
Living Forest ,2021,4853,7.2999,6.74349,1.22554,2.2026,153,27760,2,4,3,3,110
Crystal Palace ,2019,3187,7.53623,6.74345,1.26678,3.8056,180,8183,2,4,3,3,90
Unmatched: Jurassic Park – InGen vs Raptors ,2020,1934,8.13736,6.74293,1.16868,1.9565,23,2503,2,2,2,2,14
CO₂: Second Chance ,2018,3206,7.55636,6.74275,1.4714,4.075,200,8117,1,4,3,3,68
Shipyard ,2009,4003,7.35655,6.74194,1.31695,3.5034,298,8261,2,4,3,3,102
The Adventures of Robin Hood ,2021,3243,7.5578,6.7417,1.29841,1.839,118,16457,1,4,2,2,91
Middle-Earth Quest ,2009,4158,7.38772,6.74139,1.43459,3.5472,371,6777,2,4,3,3,143
The Shipwreck Arcana ,2017,3415,7.47234,6.7403,1.3196,2.1818,66,17241,2,5,4,4,45
Disney Villainous ,2018,18435,6.9833,6.74008,1.4486,2.4835,395,55490,2,4,3,3,334
Eminent Domain ,2011,10344,6.98992,6.73799,1.34209,2.5055,544,39681,2,4,3,3,146
New Frontiers ,2018,3535,7.43249,6.7352,1.20805,2.9388,98,14984,2,5,4,4,69
Empire of the Sun ,2005,1881,8.26498,6.73392,1.55518,4.3569,311,2860,1,2,2,2,65
Can't Stop ,1980,17228,6.89377,6.73351,1.31701,1.1505,1003,312990,2,4,3,3,280
Blue Moon City ,2006,8449,7.04105,6.73328,1.20637,2.2914,858,21744,2,4,3,4,201
Reef ,2018,9159,7.02306,6.73304,1.17121,1.8095,168,36517,2,4,2,2,107
Railroad Ink Challenge: Lush Green Edition ,2021,2611,7.67519,6.73303,1.14186,2.125,48,16182,1,4,2,2,35
Caverna: Cave vs Cave ,2017,6519,7.11855,6.73087,1.14812,2.5568,176,21902,1,2,2,2,89
Empires: Age of Discovery ,2015,2204,7.84447,6.73059,1.38608,3.3333,87,4071,3,6,4,5,44
Warhammer: Invasion ,2009,5980,7.2372,6.72969,1.47652,2.7336,428,38542,2,2,2,2,82
Rhino Hero: Super Battle ,2017,5022,7.24557,6.72941,1.22573,1.1067,75,22040,2,4,3,4,45
Menara ,2018,3422,7.45183,6.72933,1.14604,1.6379,58,16021,1,4,2,3,50
Brian Boru: High King of Ireland ,2021,2978,7.55181,6.72893,1.15775,2.4516,93,7409,3,5,4,4,79
Kanagawa ,2016,8706,7.04435,6.72851,1.14607,2,198,29679,2,4,4,4,127
Ex Libris ,2017,6317,7.14827,6.72817,1.24902,2.5401,137,17837,1,4,3,3,85
Bullet♥︎ ,2021,2720,7.66815,6.72658,1.29824,2.1077,65,17490,1,4,1,2,75
Saint Petersburg (Second Edition) ,2014,3306,7.46847,6.72603,1.29446,2.6525,118,9230,2,5,4,4,39
Dogs of War ,2014,3152,7.522,6.72576,1.26814,2.6481,108,6068,4,5,5,5,87
World Without End ,2009,4975,7.24133,6.72572,1.24233,2.8167,371,10662,2,4,4,4,112
Arkham Horror: The Card Game (Revised Edition) ,2021,1363,8.74555,6.72542,1.29377,3.4865,37,6673,1,4,2,2,41
Deep Sea Adventure ,2014,15377,6.91994,6.72437,1.29609,1.1838,359,73915,3,6,4,4,205
Cry Havoc ,2016,6736,7.14016,6.72423,1.42297,3.2736,201,10729,2,4,4,4,143
Space Hulk ,1989,3822,7.47856,6.72261,1.60712,2.5,322,4429,2,2,2,2,43
Massive Darkness 2: Hellscape ,2022,2085,8.10022,6.72217,1.58178,2.717,53,7362,1,4,3,3,60
Mosaic: A Story of Civilization ,2022,2737,7.65089,6.72193,1.50038,2.9327,104,6839,3,5,4,4,93
Blokus ,2000,26375,6.85959,6.72089,1.25582,1.7491,1650,75670,2,2,4,4,460
Crown of Emara ,2018,3560,7.41141,6.71921,1.08996,3.0503,159,9992,1,4,3,3,76
Super Motherload ,2015,3915,7.35043,6.71919,1.1257,2.2769,130,10244,2,3,2,2,93
Up Front ,1983,2257,7.88515,6.7188,1.73434,3.4152,289,7976,2,2,2,2,53
Twilight Inscription ,2022,2967,7.57939,6.71707,1.3525,3.2266,128,8727,1,6,3,4,80
Finca ,2009,7286,7.06651,6.71702,1.16988,2.0764,484,29072,2,4,2,2,201
Arcadia Quest: Inferno ,2017,2301,7.9055,6.71681,1.39583,2.44,25,4848,2,4,4,4,26
878 Vikings: Invasions of England ,2017,3289,7.50532,6.71654,1.30094,2.6134,119,5609,2,4,2,2,96
Black Angel ,2019,4577,7.26933,6.71411,1.43378,3.8451,284,10670,1,4,3,3,123
Railroad Ink: Blazing Red Edition ,2018,6591,7.10272,6.7137,1.17093,1.4646,99,37700,1,6,3,3,65
Vast: The Crystal Caverns ,2016,6793,7.12601,6.71368,1.48225,3.6385,213,13339,2,5,4,4,126
The Duke ,2013,4125,7.33194,6.7136,1.31434,2.4809,131,17715,2,2,2,2,32
Paris: La Cité de la Lumière ,2019,4282,7.33266,6.71322,1.13821,2.0435,115,14161,2,2,2,2,45
Messina 1347 ,2021,2652,7.6383,6.71275,1.14135,3.5822,146,7979,1,4,3,3,87
Exit: The Game – The Secret Lab ,2016,6766,7.07203,6.71239,1.37266,2.5443,79,6820,1,4,2,2,78
The Pursuit of Happiness ,2015,5251,7.18303,6.71221,1.28598,2.5037,135,14173,1,4,3,3,87
Zombicide Season 2: Prison Outbreak ,2013,4674,7.36178,6.71175,1.49978,2.669,142,6283,1,6,2,3,44
Perudo ,1800,14598,6.90616,6.71151,1.40512,1.2568,954,103717,3,6,5,6,203
"Heroes of Land, Air & Sea ",2018,2992,7.6092,6.71007,1.53949,3.3061,98,5900,2,4,4,4,55
Ricochet Robots ,1999,8921,7.024,6.71001,1.65306,2.3859,526,27862,1,12,3,6,109
Panamax ,2014,3972,7.30798,6.70831,1.31709,3.7388,245,8250,3,4,4,4,84
Dice Hospital ,2018,5968,7.1408,6.70798,1.23354,2.3111,135,26238,1,4,3,3,84
7 Wonders: Architects ,2021,8253,7.04278,6.7057,1.47085,1.3346,272,89277,2,7,4,4,156
1989: Dawn of Freedom ,2012,2270,7.78679,6.70532,1.37454,3.2834,187,4383,2,2,2,2,52
FUSE ,2015,8484,7.00817,6.70472,1.23722,1.6564,163,64610,1,5,4,4,123
Unfair ,2017,4757,7.32667,6.70434,1.56065,2.7265,117,15938,2,5,3,4,87
Three Sisters ,2022,2710,7.61527,6.70399,1.13906,2.7,70,14165,1,4,2,3,40
King of New York ,2014,16160,6.89566,6.70381,1.28999,1.8601,479,32865,3,6,4,4,165
Dungeons & Dragons: The Legend of Drizzt Board Game ,2011,6277,7.21783,6.70253,1.37175,2.5859,297,10758,1,5,3,4,89
Dominant Species: Marine ,2021,1854,8.0003,6.7025,1.37878,3.6216,111,3893,2,4,4,4,49
Squad Leader ,1977,3388,7.54684,6.70113,1.57839,4.0336,417,4302,1,2,2,2,53
Tang Garden ,2019,3828,7.3953,6.70056,1.38758,2.6091,110,10188,1,4,3,3,73
Gentes ,2017,3361,7.41493,6.70003,1.14923,3.1716,134,7642,2,4,4,4,76
Among the Stars ,2012,7139,7.03797,6.69923,1.21679,2.237,308,16413,2,4,4,4,108
Ready Set Bet ,2022,2528,7.66194,6.69816,1.32512,1.2703,37,8854,4,9,6,8,35
Cerebria: The Inside World ,2018,2484,7.77526,6.69741,1.58387,4.336,247,4789,1,4,2,2,107
Jambo ,2004,8259,6.9959,6.69669,1.23705,2.0713,814,28185,2,2,2,2,88
"Unmatched: Battle of Legends, Volume Two ",2021,1565,8.35363,6.69657,1.16769,2.1765,17,3783,2,2,2,2,16
Maquis ,2013,3315,7.45055,6.69562,1.21194,2.2031,128,19775,1,1,1,1,74
Babylonia ,2019,2380,7.67861,6.69553,1.20591,2.3919,74,8719,2,4,3,4,79
Red7 ,2014,15408,6.87488,6.6954,1.31562,1.6905,462,112972,2,4,4,4,240
Outlive ,2017,4441,7.30297,6.69474,1.31668,3.0066,152,8491,2,4,4,4,88
Incan Gold ,2005,20436,6.82899,6.69468,1.21605,1.1114,871,140330,3,8,6,8,225
Raccoon Tycoon ,2018,4126,7.30668,6.69243,1.29867,2.1467,75,9938,3,5,4,4,61
Fugitive ,2017,5102,7.16769,6.69226,1.12201,1.6705,88,24824,2,2,2,2,53
Disney Villainous: Perfectly Wretched ,2020,2860,7.66709,6.69222,1.24196,2.3214,28,1888,2,3,3,3,19
Lords of Xidit ,2014,6087,7.09347,6.69201,1.27842,2.6515,198,11553,4,5,4,5,99
Not Alone ,2016,10354,6.97366,6.69145,1.29498,1.9901,203,30122,3,7,4,5,155
Tumblin' Dice ,2004,4463,7.22452,6.69097,1.38102,1.0429,233,36922,2,6,4,4,66
Tammany Hall ,2007,4112,7.28224,6.69015,1.38923,2.7811,233,7068,3,5,5,5,94
Dale of Merchants ,2015,5321,7.18087,6.6894,1.249,2.0774,155,17963,2,4,2,3,92
Wizard ,1984,10793,6.95526,6.68932,1.40761,1.7206,569,49562,3,6,4,5,156
Star Trek: Fleet Captains ,2011,3303,7.4767,6.68856,1.52288,3.0598,251,5799,2,2,2,2,73
Tribune: Primus Inter Pares ,2007,4619,7.21431,6.68852,1.18581,2.8735,419,10153,3,5,4,4,94
Trekking Through History ,2022,2228,7.76998,6.68783,1.08352,1.7705,61,7790,1,4,3,3,48
Hannibal & Hamilcar ,2018,1624,8.31576,6.68697,1.41595,3.9121,91,2315,2,2,2,2,25
Yedo ,2012,3759,7.36403,6.68639,1.49742,3.3417,240,7636,2,5,4,4,128
Celestia ,2015,10820,6.94543,6.68587,1.22132,1.3294,255,46422,3,6,5,6,132
SpaceCorp: 2025-2300AD ,2018,2499,7.68526,6.68479,1.38185,2.9524,147,7316,1,4,3,3,110
One Deck Dungeon ,2016,10819,6.96737,6.68471,1.31955,2.0704,284,49176,1,2,1,1,213
Blue Lagoon ,2018,4658,7.19833,6.68465,1.13178,2.0221,136,12942,2,4,4,4,101
Pandemic: Rising Tide ,2017,2749,7.56669,6.68457,1.23502,2.5373,67,9239,1,5,3,3,40
Feed the Kraken ,2022,2162,7.93255,6.68431,1.468,2.1613,62,8052,6,11,8,11,59
Letter Jam ,2019,4439,7.21489,6.6843,1.38387,1.9733,75,19859,3,6,6,6,80
Reef Encounter ,2004,5142,7.14234,6.6839,1.41009,3.6767,634,14849,2,4,3,3,131
Vasco da Gama ,2009,4500,7.21833,6.68359,1.31904,3.2368,380,8199,2,4,4,4,111
XCOM: The Board Game ,2015,8855,7.00377,6.68356,1.50242,2.9143,315,16466,2,4,4,4,188
Merchants Cove ,2021,3067,7.51937,6.68254,1.45462,2.7347,98,9319,1,4,3,3,79
"13 Days: The Cuban Missile Crisis, 1962 ",2016,4414,7.2288,6.68145,1.19029,2.3143,140,12459,2,2,2,2,52
Detective Club ,2018,3614,7.37391,6.6812,1.25677,1.2459,61,9352,5,8,6,7,58
Khôra: Rise of an Empire ,2021,3159,7.45651,6.68081,1.19262,2.75,116,9731,2,4,4,4,61
ZÈRTZ ,1999,4254,7.26615,6.68039,1.36817,2.7456,338,15846,2,2,2,2,33
Washington's War ,2010,2554,7.61302,6.68033,1.38225,2.8745,263,5261,2,2,2,2,42
Santiago ,2003,5225,7.13386,6.68017,1.24026,2.491,501,13525,4,5,5,5,156
Morels ,2012,8847,6.98504,6.67965,1.23224,1.7357,367,30130,2,2,2,2,89
Scoville ,2014,5320,7.12893,6.67958,1.24718,2.7784,176,13102,2,5,4,4,98
A War of Whispers ,2019,3657,7.3517,6.67882,1.31777,2.5385,104,6437,2,4,4,4,74
Circadians: First Light ,2019,2651,7.59262,6.67829,1.16674,3.4422,147,7837,1,4,2,2,95
Star Wars: The Card Game ,2012,5720,7.17592,6.67812,1.5597,2.9677,279,34413,2,2,2,2,69
Rurik: Dawn of Kiev ,2019,2302,7.77867,6.67757,1.27078,3.0741,108,4523,1,4,3,4,77
Friedrich ,2004,2784,7.56348,6.67704,1.53628,3.1394,373,4624,3,4,4,4,106
Witchstone ,2021,2623,7.58977,6.67626,1.08481,2.7742,93,8870,2,4,3,3,75
Verdant ,2022,3355,7.42438,6.67608,1.13876,2.0714,84,16516,1,4,2,3,64
Combat Commander: Pacific ,2008,1667,8.11066,6.67596,1.63857,3.2381,168,4199,2,2,2,2,31
Skymines ,2022,1673,8.12185,6.6736,1.25499,3.8587,92,4088,1,4,4,4,66
Conflict of Heroes: Awakening the Bear! – Russia 1941-42 ,2008,3055,7.50647,6.67296,1.49066,2.9957,469,6450,1,2,2,2,83
Last Bastion ,2019,3086,7.50619,6.67148,1.2647,2.5865,104,11877,1,4,4,4,73
The Lost Expedition ,2017,6798,7.05815,6.67066,1.19549,1.8806,201,28262,1,3,1,1,201
Spyrium ,2013,6228,7.04514,6.67048,1.16227,2.8944,341,14289,2,5,4,4,138
First Rat ,2022,2424,7.64776,6.67,1.02644,2.2771,83,8278,1,5,3,4,71
Summoner Wars: Alliances Master Set ,2014,1781,8.05178,6.66846,1.44431,2.7234,47,3709,2,2,2,2,18
Battle for Rokugan ,2017,3446,7.41794,6.66828,1.23748,2.7611,113,5268,3,5,4,4,81
Hyperborea ,2014,4881,7.17858,6.66827,1.37552,3.1705,264,9744,2,5,4,4,121
Clinic: Deluxe Edition ,2019,2430,7.64895,6.66809,1.32468,4.0171,175,6344,1,4,3,3,68
Napoleon's Triumph ,2007,1811,7.99367,6.66739,1.74404,3.6517,267,3374,2,4,2,2,73
Parade ,2007,7484,6.99572,6.66739,1.21476,1.4639,291,40583,2,6,4,4,134
Rhino Hero ,2011,10628,6.91868,6.66719,1.19288,1.0229,218,63026,2,5,3,3,80
Forbidden Island ,2010,49106,6.76678,6.66648,1.21215,1.7382,2162,117950,1,4,4,4,505
Carcassonne: The City ,2004,4412,7.20501,6.66551,1.25783,2.2627,453,7316,2,4,2,3,51
High Frontier 4 All ,2020,1452,8.44147,6.66344,1.7233,4.817,306,5230,1,4,3,3,69
Spyfall ,2014,20741,6.79298,6.66125,1.42729,1.2354,497,103855,4,8,6,6,215
Tajemnicze Domostwo ,2013,5281,7.11957,6.66003,1.45504,1.8429,210,21177,3,7,4,5,76
Container ,2007,4707,7.15579,6.66002,1.58516,3.2409,386,10114,4,5,5,5,118
Star Wars: The Clone Wars ,2022,2510,7.66277,6.65883,1.14177,2.122,82,8671,1,4,2,3,62
The Mind ,2018,28848,6.77977,6.65793,1.60187,1.0745,591,169228,2,4,4,4,363
Ca$h 'n Guns: Second Edition ,2014,14951,6.84113,6.6578,1.27476,1.2479,355,34615,4,8,6,8,147
Thunderstone ,2009,10491,6.91405,6.65774,1.44702,2.5024,627,39649,1,4,3,3,165
Roll Through the Ages: The Bronze Age ,2008,12015,6.85642,6.65694,1.1789,1.7813,855,76220,1,4,2,2,199
Marvel Dice Masters: Avengers vs. X-Men ,2014,5677,7.10269,6.65612,1.51985,2.2984,248,29094,2,2,2,2,48
The Palaces of Carrara ,2012,4661,7.14377,6.65551,1.18431,2.6116,242,15581,2,4,4,4,82
Union Pacific ,1999,4310,7.19498,6.65548,1.3274,2.5449,468,9530,3,6,4,5,85
Qwixx ,2012,12687,6.86475,6.65484,1.18726,1.1148,453,156713,2,5,4,4,150
Werewords ,2017,4904,7.13676,6.65444,1.43924,1.1571,70,54537,4,10,6,7,47
Tinners' Trail ,2008,4056,7.22078,6.65435,1.20884,2.8298,382,8153,3,4,4,4,99
Dinosaur World ,2021,3286,7.41609,6.6542,1.32654,3.2609,115,6702,1,4,3,3,73
Lovecraft Letter ,2017,4440,7.21467,6.65375,1.39501,1.407,86,24918,3,6,4,5,73
Abomination: The Heir of Frankenstein ,2019,3035,7.46626,6.65369,1.40062,3.2542,118,5687,2,4,3,3,80
Clever Cubed ,2020,2609,7.5292,6.65274,1.13495,2.4394,66,29393,1,4,2,2,44
Pictomania ,2011,3748,7.27068,6.65265,1.30792,1.5259,116,11787,3,6,5,6,44
Red Rising ,2021,6840,7.04731,6.65264,1.46953,2.2979,188,28238,1,4,3,3,191
Catacombs (Third Edition) ,2015,2849,7.49211,6.65261,1.33991,2.3333,51,4503,2,5,2,2,40
Akrotiri ,2014,4450,7.19054,6.65239,1.21875,2.6514,175,10027,2,2,2,2,41
Last Night on Earth: The Zombie Game ,2007,14023,6.91296,6.65205,1.53388,2.294,1136,30891,2,6,5,5,382
Mahjong ,1850,7336,7.04281,6.65146,1.66263,2.5735,483,31479,4,4,4,4,106
Coffee Roaster ,2015,3170,7.3739,6.65097,1.2154,2.1226,106,17500,1,1,1,1,67
Roam ,2019,3553,7.31996,6.65089,1.10556,1.8228,79,14488,2,4,3,3,60
San Marco ,2001,4460,7.17182,6.65065,1.24589,2.6784,482,7358,3,4,3,3,181
Formula Dé ,1997,7841,6.99464,6.64979,1.4196,1.959,781,17954,3,10,5,5,121
Brew Crafters ,2013,3087,7.40063,6.64899,1.29495,3.5762,151,6992,2,5,3,4,43
Zombicide: Invader ,2019,2416,7.8191,6.64778,1.45871,2.3784,74,7485,1,6,3,3,53
Signorie ,2015,3072,7.391,6.647,1.23006,3.528,161,8879,2,4,4,4,68
Unlock!: Epic Adventures ,2019,2034,7.75643,6.64694,1.21253,2.1875,16,6717,1,4,2,2,13
Luxor ,2018,4422,7.19236,6.64689,1.22614,1.9147,129,25051,2,4,3,4,82
Palm Island ,2018,5609,7.10267,6.64459,1.2715,1.7319,138,48300,1,2,1,1,118
Kitchen Rush ,2017,3837,7.25683,6.64455,1.29945,2.1975,81,14189,1,4,4,4,60
Ohanami ,2019,3531,7.30672,6.64405,1.13692,1.1266,79,23911,2,4,3,3,65
Nightmare Productions ,2000,5518,7.06035,6.64163,1.22926,2.1047,535,12722,3,5,5,5,121
Tiny Epic Dungeons ,2021,3247,7.55431,6.64032,1.52278,3.0584,137,9935,1,4,1,2,73
Virgin Queen ,2012,1706,8.02157,6.64024,1.63725,4.4346,214,2921,4,6,6,6,71
Genoa ,2001,6114,7.04939,6.63993,1.43549,3.0744,672,7881,3,5,5,5,143
Call to Adventure ,2019,5820,7.11668,6.63907,1.41861,2.0137,146,15445,1,4,3,3,95
Homesteaders ,2009,3880,7.19929,6.63793,1.23258,3.0391,307,10282,2,4,4,4,80
Black Sonata ,2017,2822,7.47955,6.6378,1.23684,2.0625,80,11443,1,1,1,1,53
Tragedy Looper ,2011,4475,7.18363,6.63699,1.5712,3.5522,201,7893,2,4,4,4,99
