Title,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes
No Thanks! ,2004,25646,7.07348,6.95153,1.2007,1.1338,1398,218492,3,7,4,5,318
Shadows of Brimstone: City of the Ancients ,2014,3845,7.96837,6.95067,1.65306,3.3526,190,13906,1,4,4,4,92
Forbidden Desert ,2013,30023,7.08867,6.95065,1.18267,2.0391,920,65367,1,5,4,4,245
Deus ,2014,8769,7.28464,6.9504,1.21585,2.8292,363,29402,2,4,3,3,172
Blood Bowl: Living Rulebook ,2004,3432,7.841,6.94996,1.73176,3.1729,266,14992,2,2,2,2,64
Cartographers Heroes ,2021,3476,7.81543,6.9496,1.11514,2.0678,59,14110,1,10,3,4,47
Oceans ,2020,5988,7.4881,6.94932,1.33166,2.8821,195,16103,2,4,3,3,158
Blood Bowl (Third Edition) ,1994,5556,7.55001,6.94917,1.59831,2.9841,377,11170,2,2,2,2,39
Mansions of Madness ,2011,13531,7.26653,6.94914,1.56432,3.246,748,20194,2,5,5,5,244
Lords of Vegas ,2010,7426,7.34754,6.94782,1.41437,2.3441,279,20626,3,4,4,4,104
Zombie Kidz Evolution ,2018,4495,7.66066,6.94726,1.27558,1.3967,121,63249,2,4,3,4,92
Descent: Journeys in the Dark ,2005,11704,7.28004,6.9472,1.52472,3.3437,1283,21752,2,5,5,5,279
Dawn of the Zeds (Third Edition) ,2016,2544,8.16887,6.94715,1.31222,3.8163,147,8985,1,2,1,1,122
Shadows over Camelot ,2005,27259,7.10298,6.94693,1.39746,2.5673,1992,51113,4,7,5,7,308
Hanabi ,2010,46504,7.04855,6.94691,1.4103,1.6913,1665,268116,2,5,4,4,578
Junk Art ,2016,7136,7.37508,6.94533,1.24156,1.2128,94,25152,2,6,4,6,57
Pan Am ,2020,5174,7.5478,6.9449,1.09475,2.4152,171,11611,2,4,3,4,126
Betrayal Legacy ,2018,4615,7.68967,6.94482,1.7722,2.8861,79,23879,3,5,5,5,61
Fantastic Factories ,2019,5809,7.46765,6.94446,1.16192,2.2153,144,26509,1,5,3,3,111
1775: Rebellion ,2013,4183,7.64402,6.94164,1.23509,2.3107,280,8862,2,4,2,2,125
"Air, Land, & Sea ",2019,5694,7.46206,6.94154,1.14551,1.7228,101,18405,2,2,2,2,37
Descent: Legends of the Dark ,2021,3960,7.94587,6.94138,2.06211,2.6967,122,17027,1,4,4,4,116
"Labyrinth: The War on Terror, 2001 – ? ",2010,4865,7.58523,6.94133,1.53135,3.6501,483,11714,1,2,2,2,127
IKI ,2015,4083,7.67451,6.94085,1.20879,3.0326,215,10369,2,4,4,4,126
Friday ,2011,20499,7.11386,6.93934,1.23521,2.158,867,125797,1,1,1,1,355
The Great Wall ,2021,3440,7.9192,6.9384,1.48116,3.8663,172,7345,1,4,3,3,99
Raptor ,2015,9834,7.2524,6.93772,1.20673,2.0711,239,29720,2,2,2,2,80
Imperial Struggle ,2020,2379,8.28133,6.93704,1.4289,3.9946,185,4427,2,2,2,2,53
Imhotep ,2016,15130,7.15108,6.93515,1.14131,2.0217,322,46399,2,4,4,4,205
Bohnanza ,1997,44451,7.04661,6.9337,1.29962,1.6699,2923,150298,3,7,4,5,663
Potion Explosion ,2015,18387,7.12781,6.9332,1.19634,1.7664,321,117172,2,4,2,3,229
Freedom: The Underground Railroad ,2013,4379,7.58297,6.93306,1.23104,2.8995,199,10184,1,4,3,3,91
1846: The Race for the Midwest ,2005,2806,7.93495,6.93266,1.38015,3.9814,161,17018,3,5,4,4,84
CATAN ,1995,121598,7.1048,6.93264,1.49059,2.2991,7957,345724,3,4,4,4,1877
Foundations of Rome ,2022,2797,8.02582,6.93213,1.34875,1.9885,87,9782,2,4,4,4,56
Wayfarers of the South Tigris ,2022,3058,7.88197,6.93142,1.27175,3.7765,170,11116,1,3,2,2,116
Railroad Ink: Deep Blue Edition ,2018,12144,7.19352,6.93129,1.19426,1.4722,216,110347,1,6,2,2,134
Blackout: Hong Kong ,2018,5635,7.44836,6.93103,1.25201,3.49,251,16629,1,4,3,3,158
Argent: The Consortium ,2015,4095,7.64182,6.93088,1.50518,3.7857,210,8140,2,5,3,3,104
Black Rose Wars ,2019,3348,7.98314,6.92983,1.55456,3.4336,143,7296,2,4,4,4,118
John Company: Second Edition ,2022,2131,8.34175,6.92868,1.6728,4.4356,225,4983,1,1,4,5,104
Thurn and Taxis ,2006,19682,7.09246,6.92623,1.17896,2.2598,1844,76996,2,4,3,4,317
Small World Underground ,2011,10800,7.2414,6.92311,1.27522,2.5863,394,12526,2,5,4,4,84
