Title,Link,Rank,Year,UsersRated,AveRating,Baverage,StdDev,AveWeight,NumWeights,NumPlays,NumAwards,PCountRecomm_min,PCountRecomm_max,PCountBest_min,PCountBest_max,PCount_votes,MinPlayTime,MaxPlayTime,Mechanics,GameCategory_1,RankCategory_1,ScoreCategory_1,AmazonPrice,GameCategory_2,RankCategory_2,ScoreCategory_2,GameCategory_3,RankCategory_3,ScoreCategory_3
Hammer of the Scots ,https://boardgamegeek.com/boardgame/3685/hammer-of-the-scots,665,2002,4133,7.52941,6.82578,1.37651,2.9536,496,7481,3,2,2,2,2.0,55,120,180,"Area Movement
Area-Impulse
Campaign / Battle Card Driven
Dice Rolling
Hand Management
Secret Unit Deployment
",War ,60,7.35486,$79.98,,,,,,
Whitehall Mystery ,https://boardgamegeek.com/boardgame/190082/whitehall-mystery,666,2017,4050,7.54436,6.82701,1.19989,2.121,124,9875,0,2,4,2,2.0,121,45,60,"Hidden Movement
Point to Point Movement
Secret Unit Deployment
Team-Based Game
",Strategy ,412,6.92288,$43.16,,,,,,
My Father's Work ,https://boardgamegeek.com/boardgame/328866/my-fathers-work,667,2022,2867,7.89558,6.826,1.54182,3.1078,102,5986,4,2,4,3,3.0,68,180,180,"Events
Hand Management
Narrative Choice / Paragraph
Storytelling
Worker Placement
",Thematic,94,7.18482,$125.00,,,,,,
Zombicide ,https://boardgamegeek.com/boardgame/113924/zombicide,668,2012,18834,7.0982,6.8242,1.57641,2.5325,830,45666,7,1,6,3,3.0,294,60,60,"Action Points
Cooperative Game
Dice Rolling
Grid Movement
Hand Management
Modular Board
",Thematic,203,6.81811,$92.49,,,,,,
Gears of War: The Board Game ,https://boardgamegeek.com/boardgame/42776/gears-of-war-the-board-game,669,2011,5090,7.46918,6.82379,1.40753,2.8746,327,12940,0,1,4,2,2.0,147,60,180,"Area Movement
Campaign / Battle Card Driven
Cooperative Game
Dice Rolling
Hand Management
Modular Board
",Thematic,136,7.05198,Unknown,,,,,,
Azul: Queen's Garden ,https://boardgamegeek.com/boardgame/346965/azul-queens-garden,670,2021,4559,7.50563,6.82734,1.36193,2.931,174,25605,0,2,4,2,2.0,67,45,60,"End Game Bonuses
Pattern Building
Set Collection
Tile Placement
Turn Order: Claim Action
",Abstract ,17,7.20076,$44.49,,,,,,
Detective: City of Angels ,https://boardgamegeek.com/boardgame/218074/detective-city-angels,671,2019,2711,7.88958,6.82586,1.39633,2.3387,62,9341,0,1,5,3,4.0,81,30,150,"Action Points
Area Movement
Cooperative Game
Team-Based Game
Traitor Game
",Thematic,95,7.18414,$69.00,,,,,,
Thebes ,https://boardgamegeek.com/boardgame/30869/thebes,672,2007,9910,7.12517,6.82344,1.19739,2.1559,853,23567,12,2,4,3,4.0,216,60,60,"Point to Point Movement
Set Collection
Turn Order: Time Track
",Family ,175,6.89835,$46.99,,,,,,
Project: ELITE ,https://boardgamegeek.com/boardgame/256999/project-elite,673,2020,2524,7.98331,6.82446,1.36886,2.3774,53,7684,2,2,6,4,4.0,58,60,60,"Cooperative Game
Dice Rolling
Elapsed Real Time Ending
Grid Movement
Line of Sight
Real-Time
",Thematic,79,7.2282,Unknown,,,,,,
Zombicide: Green Horde ,https://boardgamegeek.com/boardgame/224710/zombicide-green-horde,674,2018,4243,7.69296,6.82195,1.46607,2.4688,96,9858,0,1,4,3,3.0,81,60,60,"Cooperative Game
Dice Rolling
Modular Board
Scenario / Mission / Campaign Game
Variable Player Powers
",Thematic,134,7.05818,$89.27,,,,,,
