Title,Link,Rank,Year,UsersRated,AveRating,Baverage,StdDev,AveWeight,NumWeights,NumPlays,NumAwards,PCountRecomm_min,PCountRecomm_max,PCountBest_min,PCountBest_max,PCount_votes,MinPlayTime,MaxPlayTime,Mechanics,GameCategory_1,RankCategory_1,ScoreCategory_1,AmazonPrice,GameCategory_2,RankCategory_2,ScoreCategory_2,GameCategory_3,RankCategory_3,ScoreCategory_3
Sitting Ducks Gallery ,https://boardgamegeek.com/boardgame/17027/sitting-ducks-gallery,4537,2005,1995,6.15702,5.7866,1.47186,1.1073,177,6145,2,4.0,6.0,6.0,6.0,29,20,20,"Hand Management
Open Drafting
",Family,1485.0,5.82321,,,,,,,
Anno Domini: Erfindungen ,https://boardgamegeek.com/boardgame/3137/anno-domini-erfindungen,4590,1999,666,6.70473,5.78221,1.24169,1.4783,46,1075,1,3.0,8.0,4.0,6.0,12,30,30,,Party,288.0,6.0373,,,,,,,
Nicht die Bohne! ,https://boardgamegeek.com/boardgame/192/nicht-die-bohne,4616,1999,1089,6.32122,5.78055,1.50369,1.3486,109,3054,0,4.0,6.0,5.0,6.0,25,45,45,"Simultaneous Action Selection
Trading
",Family,1410.0,5.85409,,,,,,,
Voodoo ,https://boardgamegeek.com/boardgame/154880/voodoo,4621,2014,1560,6.29483,5.78006,1.57816,1.1628,43,0,0,3.0,6.0,4.0,5.0,14,30,30,"Acting
Dice Rolling
Hand Management
",Party,400.0,5.85958,,,,,,,
Exploding Kittens: Recipes for Disaster ,https://boardgamegeek.com/boardgame/343282/exploding-kittens-recipes-for-disaster,4651,2021,590,7.14206,5.77769,1.54159,1.2,10,2387,0,3.0,5.0,5.0,5.0,8,15,15,"Hand Management
Hot Potato
Player Elimination
Push Your Luck
",,,,,,,,,,
Wacky Races: The Board Game ,https://boardgamegeek.com/boardgame/256729/wacky-races-the-board-game,4660,2019,919,6.56059,5.7758,1.68448,1.2174,23,3058,0,1.0,6.0,4.0,6.0,21,20,20,"Hand Management
Modular Board
Race
Take That
Variable Player Powers
",Family,1446.0,5.83517,,,,,,,
Cabanga! ,https://boardgamegeek.com/boardgame/394889/cabanga,4687,2023,534,6.85095,5.77468,1.18877,1.0667,15,4103,1,4.0,6.0,4.0,5.0,12,20,20,,,,,,,,,,,
Nuclear Proliferation ,https://boardgamegeek.com/boardgame/1212/nuclear-proliferation,4722,1992,795,6.55838,5.76944,1.50823,1.4844,64,410,1,4.0,6.0,5.0,5.0,3,30,30,"Hand Management
Take That
Variable Player Powers
",Thematic,824.0,5.92835,,,,,,,
Ziegen Kriegen ,https://boardgamegeek.com/boardgame/31506/ziegen-kriegen,4730,2007,1411,6.1846,5.76915,1.25735,1.2195,123,6288,2,3.0,6.0,4.0,6.0,19,15,15,"Betting and Bluffing
Trick-taking
",Family,1432.0,5.8414,,,,,,,
Biss 20 ,https://boardgamegeek.com/boardgame/318195/biss-20,4752,2020,468,6.96136,5.76718,1.22843,1.25,12,2425,2,2.0,8.0,4.0,5.0,2,20,20,"Cooperative Game
Memory
",,,,,,,,,,
Smarty Party! ,https://boardgamegeek.com/boardgame/7062/smarty-party,4754,2003,673,6.59978,5.7676,1.49488,1.4026,77,3110,0,5.0,8.0,5.0,6.0,7,45,60,,Party,276.0,6.05678,22.4,,,,,,
Loco Motive ,https://boardgamegeek.com/boardgame/41052/loco-motive,4756,2009,856,6.43641,5.76701,1.37747,1.0833,48,2287,2,4.0,4.0,6.0,6.0,13,15,15,"Acting
Team-Based Game
",Party,295.0,6.02087,,,,,,,
Fool! ,https://boardgamegeek.com/boardgame/256802/fool,4797,2018,643,6.60935,5.76343,1.37524,1.1,10,2592,0,5.0,8.0,5.0,6.0,12,15,15,"Hand Management
Trick-taking
",,,,10.0,,,,,,
Gold Fever ,https://boardgamegeek.com/boardgame/234120/gold-fever,4813,2017,841,6.524,5.76449,1.56839,1.0556,18,9443,2,3.0,5.0,4.0,5.0,14,10,15,"Push Your Luck
Set Collection
",,,,,,,,,,
Paku Paku ,https://boardgamegeek.com/boardgame/214491/paku-paku,4827,2017,841,6.44752,5.7623,1.3937,1.0,10,4946,0,3.0,6.0,4.0,5.0,15,10,10,"Dice Rolling
Real-Time
",Party,327.0,5.96921,,,,,,,
"Going, Going, GONE! ",https://boardgamegeek.com/boardgame/144761/going-going-gone,4860,2013,1412,6.15322,5.75803,1.42647,1.25,48,3217,1,3.0,6.0,4.0,5.0,9,20,20,"Auction: Dexterity
Auction/Bidding
Real-Time
Set Collection
",Party,347.0,5.92977,,,,,,,
ito ,https://boardgamegeek.com/boardgame/327778/ito,4870,2019,412,7.11942,5.76003,1.53046,1.0833,12,2457,0,3.0,7.0,4.0,5.0,11,10,10,"Communication Limits
Cooperative Game
Deduction
Ordering
",Party,244.0,6.11568,,,,,,,
WINK ,https://boardgamegeek.com/boardgame/13507/wink,4873,1994,708,6.58007,5.75701,1.42099,1.1111,27,2090,0,5.0,8.0,6.0,6.0,9,20,20,"Targeted Clues
",Party,280.0,6.04962,,,,,,,
Harry Potter Strike Dice Game ,https://boardgamegeek.com/boardgame/300329/harry-potter-strike-dice-game,4898,2020,601,6.69323,5.7557,1.36699,1.1667,6,8506,0,3.0,5.0,4.0,5.0,6,15,15,"Dice Rolling
Player Elimination
",Family,1450.0,5.83431,,,,,,,
The Game of Things ,https://boardgamegeek.com/boardgame/10934/the-game-of-things,4926,2002,2438,6.07797,5.75218,1.62016,1.2065,92,3734,0,5.0,9.0,6.0,6.0,26,45,45,"Memory
Paper-and-Pencil
",Party,430.0,5.81651,18.86,,,,,,
The Same Game ,https://boardgamegeek.com/boardgame/396542/the-same-game,4964,2023,380,7.15324,5.75233,1.41022,1.1111,9,2008,1,3.0,6.0,5.0,5.0,8,30,45,"Communication Limits
Cooperative Game
",,,,,,,,,,
"But Wait, There's More! ",https://boardgamegeek.com/boardgame/114438/but-wait-theres-more,4968,2011,576,6.67563,5.74998,1.52103,1.0909,22,1261,0,3.0,8.0,5.0,5.0,4,30,30,"Acting
Storytelling
",Party,286.0,6.03933,,,,,,,
Side Effects ,https://boardgamegeek.com/boardgame/230765/side-effects,4970,2017,681,6.7944,5.75025,1.68588,1.1667,18,2540,0,3.0,8.0,5.0,6.0,10,10,30,"Take That
",,,,,,,,,,
Giro Galoppo ,https://boardgamegeek.com/boardgame/21985/giro-galoppo,4988,2006,590,6.6672,5.74877,1.28277,1.1918,73,2861,5,3.0,5.0,4.0,5.0,18,30,30,,Children's,56.0,6.41273,,Family,1478.0,5.82512,,,
