Title,Link,Rank,Year,UsersRated,AveRating,Baverage,StdDev,AveWeight,NumWeights,NumPlays,NumAwards,PCountRecomm_min,PCountRecomm_max,PCountBest_min,PCountBest_max,PCount_votes,MinPlayTime,MaxPlayTime,Mechanics,Category_1,RankCat_1,ScoreCat_1,Category_2,RankCat_2,ScoreCat_2,AmazonPrice
Brass: Birmingham ,https://boardgamegeek.com/boardgame/224517/brass-birmingham,1,2018,42988,8.60394,8.41914,1.41948,3.8883,2032,113087,20,2,4,3,4,1000,60,120,"Hand Management
Income
Loans
Market
Network and Route Building
Tags
",Strategy ,1,8.43896,,,,$74.27 
Pandemic Legacy: Season 1 ,https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1,2,2015,52385,8.53167,8.3858,1.59866,2.8335,1423,279735,30,2,4,4,4,838,60,60,"Action Points
Cooperative Game
Hand Management
Legacy Game
Point to Point Movement
Scenario / Mission / Campaign Game
",Thematic,1,8.38762,Strategy ,2,8.37346,$71.99 
Gloomhaven ,https://boardgamegeek.com/boardgame/174430/gloomhaven,3,2017,60833,8.60343,8.36946,1.74116,3.9029,2493,499410,30,1,4,3,3,1497,60,120,"Action Queue
Action Retrieval
Campaign / Battle Card Driven
Card Play Conflict Resolution
Communication Limits
Cooperative Game
",Thematic,2,8.34787,Strategy ,4,8.33391,Unknown
Ark Nova ,https://boardgamegeek.com/boardgame/342942/ark-nova,4,2021,38917,8.53623,8.32613,1.3757,3.7418,2053,264417,28,1,3,2,2,1556,90,150,"End Game Bonuses
Hand Management
Hexagon Grid
Income
Increase Value of Unchosen Resources
Open Drafting
",Strategy ,3,8.34303,,,,$58.99 
Twilight Imperium: Fourth Edition ,https://boardgamegeek.com/boardgame/233078/twilight-imperium-fourth-edition,5,2017,22590,8.60697,8.24111,1.62088,4.3152,1082,38244,2,3,6,6,6,524,240,480,"Action Drafting
Area-Impulse
Dice Rolling
Follow
Grid Movement
Hexagon Grid
",Thematic,3,8.26269,Strategy ,5,8.26505,$126.71 
Terraforming Mars ,https://boardgamegeek.com/boardgame/167791/terraforming-mars,6,2016,95494,8.36626,8.21959,1.41682,3.2587,3931,588016,40,1,4,3,3,2433,120,120,"Closed Drafting
Contracts
Enclosure
End Game Bonuses
Hand Management
Hexagon Grid
",Strategy ,7,8.19821,,,,$63.90 
Dune: Imperium ,https://boardgamegeek.com/boardgame/316554/dune-imperium,7,2020,41190,8.42646,8.21454,1.27393,3.0371,1428,141382,26,1,4,3,4,1176,60,120,"Card Play Conflict Resolution
Deck, Bag, and Pool Building
Delayed Purchase
Force Commitment
Increase Value of Unchosen Resources
Multi-Use Cards
",Strategy ,6,8.21857,,,,$55.00 
Gloomhaven: Jaws of the Lion ,https://boardgamegeek.com/boardgame/291457/gloomhaven-jaws-lion,8,2020,32314,8.46255,8.18206,1.47312,3.6399,933,158361,20,1,4,2,2,684,30,120,"Action Queue
Action Retrieval
Campaign / Battle Card Driven
Communication Limits
Cooperative Game
Critical Hits and Failures
",Thematic,6,8.19556,Strategy ,9,8.16122,$34.97 
War of the Ring: Second Edition ,https://boardgamegeek.com/boardgame/115746/war-ring-second-edition,9,2011,20423,8.53523,8.18133,1.4796,4.2118,1133,33477,0,2,2,2,2,483,150,180,"Action Drafting
Area Majority / Influence
Area Movement
Campaign / Battle Card Driven
Card Play Conflict Resolution
Dice Rolling
",War ,1,8.28282,Thematic,4,8.24016,$104.90 
Star Wars: Rebellion ,https://boardgamegeek.com/boardgame/187645/star-wars-rebellion,10,2016,31452,8.41906,8.17151,1.36547,3.7419,1085,48273,17,2,2,2,2,637,180,240,"Area Majority / Influence
Area Movement
Area-Impulse
Card Play Conflict Resolution
Contracts
Delayed Purchase
",Thematic,5,8.20549,,,,$87.99 
Spirit Island ,https://boardgamegeek.com/boardgame/162886/spirit-island,11,2017,48605,8.34889,8.14887,1.50396,4.0626,2683,282009,16,1,4,2,2,1663,90,120,"Action Retrieval
Area Majority / Influence
Automatic Resource Growth
Campaign / Battle Card Driven
Cooperative Game
Hand Management
",Strategy ,10,8.13191,,,,$77.47 
Gaia Project ,https://boardgamegeek.com/boardgame/220308/gaia-project,12,2017,26147,8.38955,8.12507,1.40565,4.3963,1620,101329,14,1,4,3,4,679,60,150,"End Game Bonuses
Hexagon Grid
Income
Modular Board
Network and Route Building
Solo / Solitaire Game
",Strategy ,8,8.1677,,,,$78.99 
Twilight Struggle ,https://boardgamegeek.com/boardgame/12333/twilight-struggle,13,2005,47931,8.24948,8.07404,1.57866,3.6065,3891,124345,13,2,2,2,2,878,120,180,"Action/Event
Advantage Token
Area Majority / Influence
Campaign / Battle Card Driven
Dice Rolling
Events
",War ,2,8.19248,Strategy ,13,8.05881,$56.18 
Through the Ages: A New Story of Civilization ,https://boardgamegeek.com/boardgame/182028/through-ages-new-story-civilization,14,2015,30891,8.29912,8.07044,1.5162,4.4351,1526,125404,3,2,4,3,3,696,120,120,"Action Points
Auction: Dutch
Auction/Bidding
Events
Income
Open Drafting
",Strategy ,11,8.1006,,,,$69.95 
Great Western Trail ,https://boardgamegeek.com/boardgame/193738/great-western-trail,15,2016,39948,8.20802,8.04263,1.30758,3.7023,1555,138714,31,2,4,3,3,849,75,150,"Deck, Bag, and Pool Building
Hand Management
Ownership
Set Collection
Track Movement
Variable Set-up
",Strategy ,12,8.0625,,,,$49.99 
The Castles of Burgundy ,https://boardgamegeek.com/boardgame/84876/castles-burgundy,16,2011,60411,8.13557,8.01112,1.24228,2.9844,2879,327234,14,2,4,2,2,1469,30,90,"Dice Rolling
End Game Bonuses
Grid Coverage
Hexagon Grid
Open Drafting
Pattern Building
",Strategy ,15,8.01088,,,,$49.99 
Scythe ,https://boardgamegeek.com/boardgame/169786/scythe,17,2016,80856,8.15464,8.00228,1.44592,3.4436,3163,286826,33,1,5,4,4,1441,90,115,"Area Majority / Influence
Card Play Conflict Resolution
Contracts
End Game Bonuses
Force Commitment
Grid Movement
",Strategy ,20,7.9737,,,,$80.99 
7 Wonders Duel ,https://boardgamegeek.com/boardgame/173346/7-wonders-duel,18,2015,90860,8.09585,7.97194,1.19203,2.2282,2844,477576,24,2,2,2,2,1239,30,30,"End Game Bonuses
Income
Layering
Market
Modular Board
Multi-Use Cards
",Strategy ,22,7.93658,,,,$21.99 
Eclipse: Second Dawn for the Galaxy ,https://boardgamegeek.com/boardgame/246900/eclipse-second-dawn-galaxy,19,2020,12463,8.47243,7.96881,1.36815,3.6659,425,22768,4,2,6,4,4,275,60,200,"Alliances
Area Majority / Influence
Area-Impulse
Dice Rolling
Grid Movement
Hexagon Grid
",Strategy ,14,8.04865,,,,$185.49 
Brass: Lancashire ,https://boardgamegeek.com/boardgame/28720/brass-lancashire,20,2007,24373,8.19042,7.96199,1.36962,3.8585,1625,73209,7,2,4,4,4,593,60,120,"Hand Management
Income
Loans
Market
Network and Route Building
Tech Trees / Tech Tracks
",Strategy ,16,8.01038,,,,$67.00 
Nemesis ,https://boardgamegeek.com/boardgame/167355/nemesis,21,2018,28871,8.27934,7.95847,1.51481,3.459,1037,65770,11,1,5,4,5,679,90,180,"Campaign / Battle Card Driven
Cooperative Game
Dice Rolling
Hand Management
Hidden Roles
Interrupts
",Thematic,12,7.96499,,,,$177.77 
Concordia ,https://boardgamegeek.com/boardgame/124361/concordia,22,2013,39297,8.0974,7.94742,1.19716,2.9929,1555,128011,11,2,5,4,4,657,100,100,"Action Retrieval
Advantage Token
Auction: Dutch
End Game Bonuses
Hand Management
Hidden Victory Points
",Strategy ,21,7.96624,,,,$45.46 
Clank! Legacy: Acquisitions Incorporated ,https://boardgamegeek.com/boardgame/266507/clank-legacy-acquisitions-incorporated,23,2019,8920,8.55251,7.94726,1.42188,2.7154,130,51689,3,2,4,4,4,119,90,120,"Deck, Bag, and Pool Building
Delayed Purchase
End Game Bonuses
Events
Legacy Game
Map Addition
",Thematic,8,8.14102,,,,$110.00 
A Feast for Odin ,https://boardgamegeek.com/boardgame/177736/feast-odin,24,2016,27296,8.17481,7.94529,1.36728,3.8661,971,98956,9,1,4,3,3,559,30,120,"Automatic Resource Growth
Dice Rolling
Grid Coverage
Income
Push Your Luck
Solo / Solitaire Game
",Strategy ,19,7.97763,,,,$91.20 
Wingspan ,https://boardgamegeek.com/boardgame/266192/wingspan,25,2019,88065,8.06155,7.91297,1.35685,2.4595,2892,593203,42,1,4,3,3,1714,40,70,"Contracts
Dice Rolling
End Game Bonuses
Hand Management
Once-Per-Game Abilities
Open Drafting
",Strategy ,34,7.8512,Family ,2,7.92786,$47.99 
Terra Mystica ,https://boardgamegeek.com/boardgame/120677/terra-mystica,26,2012,47182,8.07165,7.90745,1.47181,3.9728,2902,157101,29,2,5,4,4,1019,60,150,"Area Majority / Influence
Chaining
End Game Bonuses
Hexagon Grid
Income
Increase Value of Unchosen Resources
",Strategy ,23,7.91552,,,,$59.97 
Arkham Horror: The Card Game ,https://boardgamegeek.com/boardgame/205637/arkham-horror-card-game,27,2016,41856,8.13241,7.90432,1.54279,3.5336,1383,288313,15,1,2,2,2,973,60,120,"Action Points
Area Movement
Communication Limits
Cooperative Game
Deck Construction
Events
",Customizable,1,8.07449,Thematic,13,7.92221,$23.47 
Lost Ruins of Arnak ,https://boardgamegeek.com/boardgame/312484/lost-ruins-arnak,28,2020,40801,8.0818,7.89931,1.23186,2.9075,1308,193692,35,1,4,3,3,783,30,120,"Contracts
Deck, Bag, and Pool Building
Market
Multi-Use Cards
Once-Per-Game Abilities
Resource to Move
",Strategy ,27,7.89711,,,,$39.99 
Great Western Trail: Second Edition ,https://boardgamegeek.com/boardgame/341169/great-western-trail-second-edition,29,2021,11043,8.36609,7.88705,1.28579,3.7243,341,36794,0,1,4,3,3,202,75,150,"Deck, Bag, and Pool Building
Hand Management
Ownership
Set Collection
Solo / Solitaire Game
Tags
",Strategy ,18,7.98474,,,,$55.99 
Root ,https://boardgamegeek.com/boardgame/237182/root,30,2018,48322,8.07469,7.88497,1.45748,3.79,1952,163572,35,3,4,4,4,1056,60,90,"Action Queue
Action Retrieval
Area Majority / Influence
Area Movement
Dice Rolling
Hand Management
",War ,12,7.74626,Strategy ,31,7.85916,$68.69 
Orléans ,https://boardgamegeek.com/boardgame/164928/orleans,31,2014,30436,8.0619,7.87502,1.16455,3.0264,1024,94252,18,2,4,4,4,411,90,90,"Contracts
Deck, Bag, and Pool Building
End Game Bonuses
Events
Point to Point Movement
Simultaneous Action Selection
",Strategy ,26,7.90433,,,,$56.11 
Mage Knight Board Game ,https://boardgamegeek.com/boardgame/96848/mage-knight-board-game,32,2011,32785,8.08531,7.85647,1.63527,4.3577,2670,75009,12,1,3,1,2,1260,60,240,"Card Play Conflict Resolution
Cooperative Game
Deck, Bag, and Pool Building
Dice Rolling
Grid Movement
Hand Management
",Thematic,16,7.84625,Strategy ,33,7.85515,$70.82 
Everdell ,https://boardgamegeek.com/boardgame/199792/everdell,33,2018,51155,8.03692,7.85534,1.29514,2.8141,1501,199652,22,1,4,3,3,859,40,80,"Contracts
End Game Bonuses
Hand Management
Income
Open Drafting
Ownership
",Strategy ,38,7.82033,,,,$60.00 
Barrage ,https://boardgamegeek.com/boardgame/251247/barrage,34,2019,16634,8.17655,7.85114,1.422,4.107,953,51531,25,2,4,4,4,447,60,120,"Action Retrieval
Contracts
End Game Bonuses
Income
Network and Route Building
Ownership
",Strategy ,24,7.9146,,,,Unknown
Too Many Bones ,https://boardgamegeek.com/boardgame/192135/too-many-bones,35,2017,12264,8.3511,7.85091,1.54627,3.8489,470,58129,4,1,4,3,3,341,60,120,"Cooperative Game
Deck, Bag, and Pool Building
Dice Rolling
Die Icon Resolution
Grid Movement
Hand Management
",Thematic,11,7.98316,Strategy ,25,7.91386,$159.95 
The Crew: Mission Deep Sea ,https://boardgamegeek.com/boardgame/324856/crew-mission-deep-sea,36,2021,15486,8.18204,7.84851,1.27489,2.0438,274,186349,5,3,5,4,4,197,20,20,"Communication Limits
Cooperative Game
Hand Management
Scenario / Mission / Campaign Game
Trick-taking
",Family ,1,7.9342,,,,$14.95 
Viticulture Essential Edition ,https://boardgamegeek.com/boardgame/183394/viticulture-essential-edition,37,2015,46978,7.99738,7.84688,1.26966,2.8881,1376,161530,1,1,5,3,4,765,45,90,"Contracts
Hand Management
Solo / Solitaire Game
Turn Order: Auction
Victory Points as a Resource
Worker Placement
",Strategy ,37,7.83985,,,,$48.63 
Frosthaven ,https://boardgamegeek.com/boardgame/295770/frosthaven,38,2022,6064,8.86088,7.82305,2.06403,4.3363,333,51203,1,1,4,3,3,182,30,120,"Campaign / Battle Card Driven
Communication Limits
Cooperative Game
Deck Construction
Deck, Bag, and Pool Building
Grid Movement
",Thematic,7,8.16288,Strategy ,17,7.99544,$196.06 
Food Chain Magnate ,https://boardgamegeek.com/boardgame/175914/food-chain-magnate,39,2015,19792,8.06544,7.80775,1.60992,4.1983,953,49329,12,2,5,3,4,343,120,240,"Deck, Bag, and Pool Building
Delayed Purchase
Income
Market
Modular Board
Open Drafting
",Strategy ,32,7.85754,,,,$117.29 
Marvel Champions: The Card Game ,https://boardgamegeek.com/boardgame/285774/marvel-champions-card-game,40,2019,22500,8.12689,7.79937,1.45964,2.9186,700,440404,12,1,3,1,2,724,45,90,"Cooperative Game
Deck Construction
Hand Management
Scenario / Mission / Campaign Game
Solo / Solitaire Game
Turn Order: Progressive
",Customizable,3,7.82024,,,,$41.99 
Pax Pamir: Second Edition ,https://boardgamegeek.com/boardgame/256960/pax-pamir-second-edition,41,2019,12958,8.21528,7.79936,1.50225,3.847,634,47359,16,1,5,4,4,456,45,120,"Action Points
Area Majority / Influence
Area Movement
Auction: Dutch
Hand Management
Increase Value of Unchosen Resources
",Strategy ,30,7.87119,,,,$77.25 
Underwater Cities ,https://boardgamegeek.com/boardgame/247763/underwater-cities,42,2018,18653,8.0701,7.78908,1.1935,3.5979,669,69159,15,1,3,2,2,552,80,150,"End Game Bonuses
Hand Management
Income
Network and Route Building
Solo / Solitaire Game
Turn Order: Claim Action
",Strategy ,35,7.84643,,,,$59.75 
Puerto Rico ,https://boardgamegeek.com/boardgame/3076/puerto-rico,43,2002,70219,7.92227,7.78448,1.39209,3.2711,6200,192106,19,2,5,4,4,1553,90,150,"Action Drafting
End Game Bonuses
Follow
Hidden Victory Points
Increase Value of Unchosen Resources
Turn Order: Progressive
",Strategy ,44,7.77229,,,,$134.59 
Caverna: The Cave Farmers ,https://boardgamegeek.com/boardgame/102794/caverna-cave-farmers,44,2013,34161,7.95244,7.7715,1.34356,3.7808,1633,80619,14,1,5,4,4,546,30,210,"Automatic Resource Growth
Increase Value of Unchosen Resources
Solo / Solitaire Game
Tile Placement
Turn Order: Claim Action
Worker Placement
",Strategy ,41,7.78805,,,,$67.60 
Cascadia ,https://boardgamegeek.com/boardgame/295947/cascadia,45,2021,33921,7.96484,7.76967,1.11418,1.8328,969,199539,24,1,4,2,3,604,30,45,"End Game Bonuses
Hexagon Grid
Open Drafting
Pattern Building
Solo / Solitaire Game
Tile Placement
",Abstract ,1,7.74386,Family ,5,7.80282,$32.99 
Blood Rage ,https://boardgamegeek.com/boardgame/170216/blood-rage,46,2015,45847,7.93669,7.76507,1.4144,2.878,1484,96969,19,3,4,4,4,932,60,90,"Action Points
Area Majority / Influence
Area Movement
Card Play Conflict Resolution
Closed Drafting
Hand Management
",Strategy ,47,7.74857,,,,$89.99 
Heat: Pedal to the Metal ,https://boardgamegeek.com/boardgame/366013/heat-pedal-metal,47,2022,17278,8.09423,7.76244,1.31519,2.1829,514,83221,16,1,6,5,6,445,30,60,"Catch the Leader
Hand Management
Push Your Luck
Race
Simulation
Simultaneous Action Selection
",Family ,3,7.81148,,,,$74.99 
On Mars ,https://boardgamegeek.com/boardgame/184267/mars,48,2020,11999,8.20374,7.75955,1.51067,4.6738,1499,30214,16,1,4,3,3,365,90,150,"Contracts
Delayed Purchase
End Game Bonuses
Hexagon Grid
Income
Movement Points
",Strategy ,36,7.84376,,,,$122.95 
Anachrony ,https://boardgamegeek.com/boardgame/185343/anachrony,49,2017,17937,8.07868,7.75937,1.3948,4.0165,971,43742,9,1,4,3,3,349,30,120,"Dice Rolling
Solo / Solitaire Game
Turn Order: Claim Action
Variable Player Powers
Worker Placement
Worker Placement, Different Worker Types
",Strategy ,40,7.8116,,,,$95.00 
Agricola ,https://boardgamegeek.com/boardgame/31260/agricola,50,2007,71827,7.88041,7.75551,1.55009,3.6366,6294,273036,36,1,5,3,4,1954,30,150,"Automatic Resource Growth
Closed Drafting
Enclosure
Hand Management
Increase Value of Unchosen Resources
Solo / Solitaire Game
",Strategy ,48,7.74275,,,,$58.95 
Crokinole ,https://boardgamegeek.com/boardgame/521/crokinole,51,1876,17344,8.02568,7.75551,1.61376,1.2349,664,198443,0,2,2,2,2,248,30,30,"Flicking
Team-Based Game
",Family ,4,7.81122,,,,$170.00 
Sleeping Gods ,https://boardgamegeek.com/boardgame/255984/sleeping-gods,52,2021,10747,8.25472,7.74598,1.45056,3.2425,367,33580,17,1,3,2,2,310,60,1200,"Action Points
Cooperative Game
Events
Hand Management
Narrative Choice / Paragraph
Push Your Luck
",Thematic,14,7.87086,,,,$87.49 
Pandemic Legacy: Season 0 ,https://boardgamegeek.com/boardgame/314040/pandemic-legacy-season-0,53,2020,7151,8.41633,7.74485,1.55882,3.1418,141,52980,5,2,4,4,4,117,45,60,"Action Points
Cooperative Game
Hand Management
Legacy Game
Point to Point Movement
Scenario / Mission / Campaign Game
",Thematic,10,7.99535,Strategy ,29,7.87509,$67.80 
Kanban EV ,https://boardgamegeek.com/boardgame/284378/kanban-ev,54,2020,7006,8.43414,7.74464,1.29517,4.3049,410,16893,8,1,4,3,3,157,60,180,"Action Points
Hand Management
Variable Phase Order
Worker Placement
",Strategy ,28,7.89022,,,,$131.95 
Pandemic Legacy: Season 2 ,https://boardgamegeek.com/boardgame/221107/pandemic-legacy-season-2,55,2017,16499,8.04038,7.73177,1.68755,3.2508,307,118104,10,2,4,4,4,227,60,60,"Action Points
Cooperative Game
Hand Management
Legacy Game
Pick-up and Deliver
Point to Point Movement
",Thematic,15,7.84636,Strategy ,43,7.77865,$53.99 
Mansions of Madness: Second Edition ,https://boardgamegeek.com/boardgame/205059/mansions-madness-second-edition,56,2016,35289,7.95431,7.72177,1.50436,2.6812,712,88838,9,1,5,3,4,447,120,180,"Area Movement
Cooperative Game
Dice Rolling
Hand Management
Map Addition
Modular Board
",Thematic,20,7.75463,,,,$89.00 
Lisboa ,https://boardgamegeek.com/boardgame/161533/lisboa,57,2017,10615,8.19249,7.72014,1.45883,4.5893,991,26129,21,1,4,3,3,277,60,120,"Area Majority / Influence
Hand Management
Open Drafting
Solo / Solitaire Game
Tile Placement
",Strategy ,39,7.81887,,,,$126.95 
Maracaibo ,https://boardgamegeek.com/boardgame/276025/maracaibo,58,2019,15388,8.04504,7.71568,1.28183,3.9036,768,54209,13,1,4,3,3,370,30,120,"Contracts
End Game Bonuses
Events
Hand Management
Income
Movement Points
",Strategy ,42,7.78147,,,,$58.99 
Tzolk'in: The Mayan Calendar ,https://boardgamegeek.com/boardgame/126163/tzolk-mayan-calendar,59,2012,38460,7.86379,7.7086,1.2622,3.6677,1932,116225,26,2,4,4,4,590,90,90,"Bias
End Game Bonuses
Turn Order: Claim Action
Worker Placement
",Strategy ,51,7.72672,,,,$57.69 
Power Grid ,https://boardgamegeek.com/boardgame/2651/power-grid,60,2004,64456,7.81567,7.70654,1.33478,3.2553,4944,150805,20,3,6,4,5,1278,120,120,"Auction: Turn Order Until Pass
Auction/Bidding
Catch the Leader
Income
Market
Network and Route Building
",Strategy ,55,7.70313,,,,$44.95 
The Quacks of Quedlinburg ,https://boardgamegeek.com/boardgame/244521/quacks-quedlinburg,61,2018,46981,7.83276,7.69075,1.23606,1.9476,1125,225686,25,2,4,4,4,626,45,45,"Catch the Leader
Deck, Bag, and Pool Building
Delayed Purchase
Dice Rolling
Events
Market
",Family ,6,7.7171,,,,$39.99 
Clans of Caledonia ,https://boardgamegeek.com/boardgame/216132/clans-caledonia,62,2017,19949,7.94624,7.68724,1.18271,3.4592,784,67982,14,1,4,4,4,401,30,120,"Commodity Speculation
Contracts
Market
Modular Board
Network and Route Building
Solo / Solitaire Game
",Strategy ,50,7.73459,,,,Unknown
Le Havre ,https://boardgamegeek.com/boardgame/35677/le-havre,63,2008,31122,7.84961,7.68424,1.41408,3.7209,2035,81976,21,1,4,3,3,847,30,150,"Automatic Resource Growth
End Game Bonuses
Increase Value of Unchosen Resources
Loans
Ownership
Solo / Solitaire Game
",Strategy ,53,7.71236,,,,Unknown
Paladins of the West Kingdom ,https://boardgamegeek.com/boardgame/266810/paladins-west-kingdom,64,2019,16982,7.98857,7.68216,1.23705,3.7214,761,49339,7,1,3,2,2,483,90,120,"End Game Bonuses
Market
Open Drafting
Solo / Solitaire Game
Worker Placement
Worker Placement, Different Worker Types
",Strategy ,49,7.73494,,,,$56.82 
Star Wars: Imperial Assault ,https://boardgamegeek.com/boardgame/164153/star-wars-imperial-assault,65,2014,24262,7.96918,7.68071,1.41735,3.3047,909,90461,13,2,5,2,2,404,60,120,"Dice Rolling
Die Icon Resolution
Grid Movement
Line of Sight
Modular Board
Role Playing
",Thematic,23,7.72044,,,,$112.09 
Cthulhu: Death May Die ,https://boardgamegeek.com/boardgame/253344/cthulhu-death-may-die,66,2019,11275,8.17896,7.68027,1.39708,2.4515,330,42883,7,1,4,3,3,255,90,120,"Action Points
Cooperative Game
Dice Rolling
Scenario / Mission / Campaign Game
Solo / Solitaire Game
Variable Player Powers
",Thematic,19,7.82175,,,,$109.99 
The Gallerist ,https://boardgamegeek.com/boardgame/125153/gallerist,67,2015,14116,8.02529,7.6782,1.35233,4.2519,925,33437,11,1,4,3,4,309,60,150,"Area Majority / Influence
Commodity Speculation
Contracts
Investment
Open Drafting
Point to Point Movement
",Strategy ,45,7.75186,,,,$199.95 
The Crew: The Quest for Planet Nine ,https://boardgamegeek.com/boardgame/284083/crew-quest-planet-nine,68,2019,39836,7.82335,7.67712,1.30255,1.9563,800,537633,37,3,5,4,4,665,20,20,"Communication Limits
Cooperative Game
Hand Management
Scenario / Mission / Campaign Game
Trick-taking
",Family ,7,7.70542,,,,$14.99 
Grand Austria Hotel ,https://boardgamegeek.com/boardgame/182874/grand-austria-hotel,69,2015,19883,7.9332,7.67606,1.25899,3.2126,776,91104,6,2,3,2,2,688,60,120,"Action Drafting
Contracts
Dice Rolling
End Game Bonuses
Hand Management
Set Collection
",Strategy ,52,7.71909,,,,$59.78 
Mechs vs. Minions ,https://boardgamegeek.com/boardgame/209010/mechs-vs-minions,70,2016,17193,7.97515,7.66768,1.35435,2.4345,313,62860,14,2,4,4,4,247,60,120,"Action Queue
Bias
Cooperative Game
Dice Rolling
Modular Board
Open Drafting
",Thematic,22,7.74641,Strategy ,56,7.69795,Unknown
Obsession ,https://boardgamegeek.com/boardgame/231733/obsession,71,2018,10382,8.16318,7.66408,1.3364,3.1043,374,48706,1,1,4,2,2,288,30,90,"Action Retrieval
Deck, Bag, and Pool Building
Hand Management
Open Drafting
Solo / Solitaire Game
Worker Placement
",Thematic,21,7.75413,Strategy ,46,7.74864,Unknown
Android: Netrunner ,https://boardgamegeek.com/boardgame/124742/android-netrunner,72,2012,29798,7.87882,7.65909,1.66329,3.4033,1649,338292,12,2,2,2,2,407,45,45,"Action Points
Deck Construction
Hand Management
Race
Secret Unit Deployment
Take That
",Customizable,4,7.77185,,,,Unknown
Kingdom Death: Monster ,https://boardgamegeek.com/boardgame/55690/kingdom-death-monster,73,2015,9446,8.50168,7.65756,2.01479,4.2643,594,48737,6,1,4,4,4,343,60,180,"Cooperative Game
Critical Hits and Failures
Dice Rolling
Grid Movement
Role Playing
Solo / Solitaire Game
",Thematic,17,7.83719,,,,$649.99 
Azul ,https://boardgamegeek.com/boardgame/230802/azul,74,2017,86282,7.75733,7.64651,1.15317,1.7608,2299,625485,47,2,4,2,2,1473,30,45,"End Game Bonuses
Open Drafting
Pattern Building
Set Collection
Tile Placement
Turn Order: Claim Action
",Abstract ,2,7.65834,Family ,8,7.65459,$31.99 
Agricola (Revised Edition) ,https://boardgamegeek.com/boardgame/200680/agricola-revised-edition,75,2016,16961,7.9594,7.63689,1.42481,3.4642,573,49862,0,1,4,3,4,282,30,120,"Enclosure
Hand Management
Worker Placement
Advantage Token
Automatic Resource Growth
Closed Drafting
",Strategy ,59,7.67488,,,,$58.95 
Race for the Galaxy ,https://boardgamegeek.com/boardgame/28143/race-galaxy,76,2007,54636,7.74481,7.63197,1.46958,2.99,3706,686849,16,2,4,2,2,1204,30,60,"Follow
Hand Management
Income
Market
Multi-Use Cards
Set Collection
",Strategy ,66,7.63331,,,,$27.43 
Eclipse: New Dawn for the Galaxy ,https://boardgamegeek.com/boardgame/72125/eclipse-new-dawn-galaxy,77,2011,28192,7.83632,7.62648,1.50532,3.7037,1951,54102,21,2,6,4,4,624,60,180,"Dice Rolling
Grid Movement
Hexagon Grid
Map Addition
Modular Board
Player Elimination
",Strategy ,65,7.63737,,,,Unknown
Five Tribes: The Djinns of Naqala ,https://boardgamegeek.com/boardgame/157354/five-tribes-djinns-naqala,78,2014,40637,7.77505,7.62635,1.26909,2.8505,1492,117277,20,2,4,2,2,865,40,80,"Auction/Bidding
Constrained Bidding
End Game Bonuses
Hidden Victory Points
Mancala
Modular Board
",Strategy ,68,7.62718,,,,Unknown
Aeon's End ,https://boardgamegeek.com/boardgame/191189/aeons-end,79,2016,19749,7.91312,7.6234,1.35847,2.8094,572,106588,8,1,4,2,2,563,60,60,"Chit-Pull System
Cooperative Game
Deck, Bag, and Pool Building
Delayed Purchase
Hand Management
Open Drafting
",Strategy ,64,7.63962,,,,$59.99 
Clank!: A Deck-Building Adventure ,https://boardgamegeek.com/boardgame/201808/clank-deck-building-adventure,80,2016,41013,7.78322,7.6223,1.20375,2.2246,904,143712,16,2,4,3,3,630,30,60,"Action Points
Deck, Bag, and Pool Building
Delayed Purchase
End Game Bonuses
Movement Points
Open Drafting
",Strategy ,75,7.60554,Family ,9,7.63466,$59.99 
Fields of Arle ,https://boardgamegeek.com/boardgame/159675/fields-arle,81,2014,10666,8.03655,7.61003,1.29234,3.8537,533,32801,7,1,2,2,2,219,60,120,"Automatic Resource Growth
Highest-Lowest Scoring
Income
Set Collection
Solo / Solitaire Game
Turn Order: Claim Action
",Strategy ,54,7.70498,,,,Unknown
Teotihuacan: City of Gods ,https://boardgamegeek.com/boardgame/229853/teotihuacan-city-gods,82,2018,19339,7.87322,7.60575,1.29759,3.7816,838,69280,20,1,4,4,4,358,90,120,"Area Movement
Rondel
Set Collection
Solo / Solitaire Game
Tile Placement
Track Movement
",Strategy ,62,7.65198,,,,$49.95 
Through the Ages: A Story of Civilization ,https://boardgamegeek.com/boardgame/25613/through-ages-story-civilization,83,2006,19224,7.85023,7.60456,1.69807,4.1753,1831,72558,13,2,4,3,3,682,120,120,"Action Points
Auction: Dutch
Auction/Bidding
Hand Management
Open Drafting
",Strategy ,60,7.65911,,,,Unknown
Beyond the Sun ,https://boardgamegeek.com/boardgame/317985/beyond-sun,84,2020,13436,7.94686,7.60403,1.15363,3.1315,403,51066,6,2,4,3,3,259,60,120,"Area Majority / Influence
Contracts
Events
Point to Point Movement
Tech Trees / Tech Tracks
Worker Placement
",Strategy ,57,7.67961,,,,$52.99 
Lords of Waterdeep ,https://boardgamegeek.com/boardgame/110327/lords-waterdeep,85,2012,54604,7.73435,7.59472,1.27111,2.4534,2316,175761,11,2,5,3,4,747,60,120,"Contracts
Hidden Roles
Increase Value of Unchosen Resources
Ownership
Set Collection
Take That
",Strategy ,82,7.56735,,,,$38.99 
