Title,Link,Rank,Year,UsersRated,AveRating,Baverage,StdDev,AveWeight,NumWeights,NumPlays,NumAwards,PCountRecomm_min,PCountRecomm_max,PCountBest_min,PCountBest_max,PCount_votes,MinPlayTime,MaxPlayTime,Mechanics,Category_1,RankCat_1,ScoreCat_1,Category_2,RankCat_2,ScoreCat_2,AmazonPrice
For the People ,https://boardgamegeek.com/boardgame/833/people,1225,1998,1669,7.77738,6.48587,1.44041,3.7339,248,2501,3,2,2,2,2,41,360,360,"Campaign / Battle Card Driven
Dice Rolling
Point to Point Movement
Simulation
",War ,48,7.4035,,,,Unknown
Crisis ,https://boardgamegeek.com/boardgame/128721/crisis,1226,2016,2001,7.50617,6.48579,1.20601,3.0805,87,6382,1,1,5,4,4,52,45,120,"Commodity Speculation
Semi-Cooperative Game
Worker Placement
",Strategy ,636,6.65381,,,,Unknown
Aeon's End: Outcasts ,https://boardgamegeek.com/boardgame/299317/aeons-end-outcasts,1227,2020,1018,8.54071,6.48477,1.2845,3,20,4292,0,1,4,2,2,21,60,60,"Cooperative Game
Deck, Bag, and Pool Building
Hand Management
Open Drafting
Variable Phase Order
Variable Player Powers
",Strategy ,585,6.71344,,,,Unknown
Hansa ,https://boardgamegeek.com/boardgame/8989/hansa,1228,2004,5172,6.88055,6.48466,1.16008,2.3365,630,11946,2,2,4,2,2,166,60,60,"Action Points
Area Majority / Influence
Income
Pick-up and Deliver
Point to Point Movement
Set Collection
",Strategy ,712,6.57179,,,,Unknown
Here I Stand: 500th Anniversary Edition ,https://boardgamegeek.com/boardgame/242722/here-i-stand-500th-anniversary-edition,1229,2017,1034,8.53601,6.48549,1.47124,4.5254,59,1245,1,2,6,6,6,38,180,360,"Campaign / Battle Card Driven
Dice Rolling
Hand Management
Point to Point Movement
Simulation
Variable Player Powers
",War ,6,7.81076,,,,Unknown
Exit: The Game – The Sinister Mansion ,https://boardgamegeek.com/boardgame/226520/exit-game-sinister-mansion,1230,2018,2526,7.27435,6.48365,1.35547,2.5135,37,3195,0,1,3,2,2,28,45,90,"Cooperative Game
",Thematic,214,6.78715,,,,$14.95 
Claim ,https://boardgamegeek.com/boardgame/233961/claim,1231,2017,4657,6.95958,6.48242,1.19319,1.6931,101,28774,1,2,2,2,2,49,25,25,"Area Majority / Influence
Auction: Once Around
Auction/Bidding
Trick-taking
",Family ,346,6.57959,,,,Unknown
Caylus Magna Carta ,https://boardgamegeek.com/boardgame/27364/caylus-magna-carta,1232,2007,4974,6.89033,6.48217,1.25527,2.8704,494,8982,6,2,4,3,4,103,45,75,"Hand Management
Worker Placement
",Strategy ,717,6.56891,,,,Unknown
Genotype: A Mendelian Genetics Game ,https://boardgamegeek.com/boardgame/252752/genotype-mendelian-genetics-game,1233,2021,2052,7.49123,6.48223,1.09736,2.803,66,5593,2,1,5,3,4,46,45,90,"Contracts
Dice Rolling
Market
Open Drafting
Set Collection
Simulation
",Strategy ,646,6.64254,,,,$54.99 
Stardew Valley: The Board Game ,https://boardgamegeek.com/boardgame/332290/stardew-valley-board-game,1234,2021,2792,7.40218,6.48278,1.54353,2.7253,91,6741,0,1,3,2,2,83,45,200,"Cooperative Game
Dice Rolling
Die Icon Resolution
Events
Point to Point Movement
Random Production
",Thematic,308,6.61625,,,,$101.98 
