Title,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,GameCategory_1,RankCategory_1,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes,GameCategory_2,RankCategory_2,GameCategory_3,RankCategory_3
Mythic Battles: Pantheon ,2017,3046,8.35211,7.01286,1.54442,3.0325,123,9418,Strategy Games,1,2,4,2,2.0,78,,,,
Cubitos ,2021,7450,7.45503,7.01283,1.1961,2.1918,146,28689,Family Games,1,2,4,4,4.0,96,,,,
Fresco ,2010,12918,7.25844,7.01214,1.14948,2.6284,689,25679,Family Games,1,2,4,4,4.0,205,Strategy Games,1,,
Macao ,2009,7390,7.41374,7.01183,1.33363,3.1347,542,26141,Strategy Games,1,2,4,3,3.0,155,,,,
Dune ,1979,5815,7.59478,7.01166,1.69387,3.4501,571,6843,Strategy Games,1,4,6,6,6.0,162,Thematic Games,1,,
Claustrophobia ,2009,6988,7.47711,7.01026,1.37947,2.4824,454,17408,Thematic Games,1,2,2,2,2.0,118,,,,
Biblios ,2007,17276,7.19825,7.0092,1.1862,1.6835,790,82828,Family Games,1,2,4,3,3.0,370,Strategy Games,1,,
Advanced Squad Leader ,1985,3782,8.00039,7.00907,2.07076,4.7368,718,19541,Wargames,1,1,2,2,2.0,129,,,,
Thunderstone Quest ,2018,4219,7.78593,7.00723,1.41081,2.837,92,15365,Strategy Games,1,2,3,2,2.0,82,,,,
Mice and Mystics ,2012,19069,7.24382,7.00592,1.42443,2.7206,766,48151,Thematic Games,1,1,4,4,4.0,259,,,,
King of Tokyo: Dark Edition ,2020,4826,7.69868,7.00532,1.20342,1.6316,114,18393,Family Games,1,3,6,4,5.0,70,,,,
The Manhattan Project ,2012,9796,7.33145,7.00435,1.26274,2.959,488,20022,Strategy Games,1,2,5,4,4.0,146,,,,
Flash Point: Fire Rescue ,2011,23667,7.16611,7.0031,1.25453,2.1979,945,81286,Family Games,1,1,6,4,4.0,323,Thematic Games,1,,
ISS Vanguard ,2022,2375,8.74682,7.00285,1.5466,3.6169,154,10665,Thematic Games,1,1,4,1,2.0,131,,,,
Wavelength ,2019,11367,7.29689,7.00239,1.29136,1.1209,182,36874,Party Games,1,4,12,6,6.0,127,,,,
Chess ,1475,34958,7.19293,7.00086,1.84466,3.661,2699,215649,Abstract Games,1,2,2,2,2.0,453,,,,
Millennium Blades ,2016,4838,7.67267,6.99784,1.58382,3.6641,131,8751,Thematic Games,1,2,5,3,4.0,101,,,,
Kingsburg ,2007,19463,7.17764,6.99719,1.23109,2.4224,1243,55953,Family Games,1,2,5,4,4.0,308,Strategy Games,1,,
Imperial Settlers: Empires of the North ,2019,6877,7.46153,6.9951,1.336,2.8056,180,24598,Strategy Games,1,1,3,2,2.0,165,,,,
Pipeline ,2019,4745,7.6302,6.98895,1.43443,3.9057,244,13311,Strategy Games,1,2,4,3,3.0,129,,,,
Glen More ,2010,9183,7.30333,6.98769,1.15566,2.6644,578,31624,Strategy Games,1,2,5,4,4.0,198,,,,
Marvel United: X-Men ,2021,2817,8.13161,6.98739,1.25417,2,77,14193,Family Games,1,1,5,3,4.0,44,,,,
Heroscape Master Set: Rise of the Valkyrie ,2004,8184,7.44509,6.98722,1.56229,2.296,865,28569,Customizable Games,1,2,4,2,2.0,110,Thematic Games,1,,
Lancaster ,2011,7340,7.39788,6.98709,1.19067,3.0066,454,14765,Strategy Games,1,3,5,4,4.0,222,,,,
A Few Acres of Snow ,2011,7880,7.37592,6.98548,1.49477,3.0382,576,21919,Strategy Games,1,2,2,2,2.0,95,Wargames,1,,
Lord of the Rings: The Confrontation ,2005,6247,7.48143,6.98454,1.34495,2.1957,470,20456,Strategy Games,1,2,2,2,2.0,82,,,,
Pandemic: Reign of Cthulhu ,2016,9884,7.36908,6.9841,1.25096,2.164,189,23344,Strategy Games,1,1,4,4,4.0,116,Thematic Games,1,,
Boonlake ,2021,4227,7.69718,6.98297,1.24757,3.7933,208,12213,Strategy Games,1,1,4,3,3.0,142,,,,
Turing Machine ,2022,3686,7.8428,6.98182,1.38523,2.4125,80,41523,Strategy Games,1,1,4,1,1.0,117,,,,
Mandala ,2019,5272,7.54836,6.98169,1.14002,1.8056,108,29203,Abstract Games,1,2,2,2,2.0,43,Family Games,1,,
Quadropolis ,2016,12733,7.23664,6.98167,1.09907,2.2038,260,39218,Family Games,1,2,4,4,4.0,154,,,,
Black Orchestra ,2016,6094,7.51055,6.98165,1.29047,2.4114,175,14109,Thematic Games,1,1,5,3,3.0,128,,,,
Point Salad ,2019,17480,7.17658,6.98069,1.12223,1.153,353,126999,Family Games,1,2,6,3,3.0,248,,,,
PitchCar ,1995,10737,7.26109,6.9796,1.34841,1.1269,662,53047,Family Games,1,2,8,6,6.0,118,Party Games,1,,
Mystic Vale ,2016,11433,7.26376,6.97233,1.3182,2.2584,178,60368,Strategy Games,1,2,4,2,2.0,120,,,,
Middara: Unintentional Malum – Act 1 ,2019,2309,8.63779,6.97215,1.69443,4.0795,151,16788,Thematic Games,1,1,4,4,4.0,83,,,,
Honey Buzz ,2020,4779,7.62887,6.96929,1.20726,2.7569,144,13674,Family Games,1,1,4,3,3.0,83,Strategy Games,1,,
Cat in the Box: Deluxe Edition ,2022,4257,7.65861,6.96739,1.18369,2,63,15910,Family Games,1,3,5,4,4.0,81,,,,
Amerigo ,2013,6089,7.44369,6.96456,1.23143,2.9821,336,15918,Strategy Games,1,2,4,4,4.0,106,,,,
Commands & Colors: Napoleonics ,2010,3045,8.01505,6.9636,1.41534,2.7293,266,13904,Wargames,1,1,2,2,2.0,48,,,,
Mindbug: First Contact ,2022,4152,7.78955,6.96306,1.34896,1.9333,105,33081,Family Games,1,2,2,2,2.0,54,Strategy Games,1,,
Stuffed Fables ,2018,6858,7.46909,6.96299,1.34079,2.4485,165,22535,Family Games,1,1,4,4,4.0,95,Thematic Games,1,,
Hadara ,2019,6571,7.42148,6.96098,1.13573,2.2022,178,28540,Strategy Games,1,2,5,4,5.0,91,,,,
Amun-Re ,2003,9123,7.29609,6.96085,1.22122,3.0342,937,25580,Strategy Games,1,4,5,5,5.0,264,,,,
BattleLore ,2006,9318,7.34974,6.96074,1.42578,2.7652,1303,26459,Thematic Games,1,2,2,2,2.0,156,Wargames,1,,
Charterstone ,2017,14333,7.23247,6.96026,1.67122,2.8368,288,87286,Strategy Games,1,2,6,6,6.0,237,,,,
Pandemic: The Cure ,2014,10467,7.25352,6.95992,1.2323,2.0644,326,53210,Family Games,1,1,5,3,4.0,156,Strategy Games,1,,
Colt Express ,2014,30808,7.09374,6.95942,1.24598,1.8255,974,94030,Family Games,1,3,6,5,6.0,450,,,,
Exit: The Game – Dead Man on the Orient Express ,2017,4683,7.58236,6.95599,1.39362,2.726,73,4765,Family Games,1,1,4,2,2.0,51,Thematic Games,1,,
Citadels ,2016,12649,7.26083,6.95505,1.26165,2.0276,254,23188,Family Games,1,3,7,5,5.0,209,,,,
Fire in the Lake ,2014,2794,8.05111,6.9542,1.46152,4.1227,277,4924,Wargames,1,1,4,4,4.0,85,,,,
Risk Legacy ,2011,8334,7.37184,6.95362,1.64717,2.5945,291,27569,Strategy Games,1,4,5,5,5.0,137,,,,
Canvas ,2021,10160,7.29923,6.95321,1.234,1.6443,253,37758,Family Games,1,1,5,4,4.0,125,,,,
Cartographers Heroes ,2021,3498,7.81574,6.95246,1.11319,2.0678,59,14218,Strategy Games,1,1,10,3,4.0,47,,,,
Citadels ,2000,53451,7.06592,6.95176,1.26354,2.0495,3777,118788,Family Games,1,2,7,5,5.0,1187,Strategy Games,1,,
No Thanks! ,2004,25710,7.07386,6.95176,1.19999,1.1337,1399,218901,Family Games,1,3,7,4,5.0,320,,,,
Sheriff of Nottingham ,2014,34687,7.07997,6.95174,1.31082,1.6548,788,64276,Family Games,1,3,5,5,5.0,298,Party Games,1,,
Shadows of Brimstone: City of the Ancients ,2014,3848,7.96824,6.95097,1.65149,3.3526,190,13921,Thematic Games,1,1,4,4,4.0,92,,,,
Forbidden Desert ,2013,30049,7.08861,6.95054,1.18297,2.0391,920,65455,Family Games,1,1,5,4,4.0,246,,,,
Deus ,2014,8773,7.28436,6.95048,1.21539,2.8292,363,29456,Strategy Games,1,2,4,3,3.0,172,,,,
Blood Bowl: Living Rulebook ,2004,3434,7.84071,6.94991,1.73138,3.1729,266,14992,Thematic Games,1,2,2,2,2.0,64,,,,
Oceans ,2020,6010,7.48457,6.94948,1.33599,2.8821,195,16160,Strategy Games,1,2,4,3,3.0,158,,,,
Blood Bowl (Third Edition) ,1994,5555,7.55001,6.94909,1.59845,2.9841,377,11169,Strategy Games,1,2,2,2,2.0,39,Thematic Games,1,,
Mansions of Madness ,2011,13535,7.26598,6.94898,1.56437,3.246,748,20199,Thematic Games,1,2,5,5,5.0,244,,,,
Dawn of the Zeds (Third Edition) ,2016,2554,8.16797,6.94827,1.31132,3.8163,147,9003,Thematic Games,1,1,2,1,1.0,123,,,,
Lords of Vegas ,2010,7428,7.34751,6.94788,1.4144,2.3441,279,20647,Strategy Games,1,3,4,4,4.0,104,Thematic Games,1,,
Zombie Kidz Evolution ,2018,4505,7.66026,6.94761,1.27633,1.3967,121,63476,Children's Games,1,2,4,3,4.0,93,Family Games,1,,
Descent: Journeys in the Dark ,2005,11709,7.27983,6.94737,1.52459,3.3437,1283,21755,Thematic Games,1,2,5,5,5.0,279,,,,
Shadows over Camelot ,2005,27266,7.10286,6.94688,1.39751,2.5673,1992,51134,Thematic Games,1,4,7,5,7.0,308,,,,
Hanabi ,2010,46559,7.04839,6.94682,1.4107,1.6911,1667,268654,Family Games,1,2,5,4,4.0,580,,,,
Descent: Legends of the Dark ,2021,3991,7.95074,6.94569,2.05828,2.6967,122,17202,Thematic Games,1,1,4,1,1.0,117,,,,
IKI ,2015,4118,7.67562,6.94556,1.20642,3.0324,216,10480,Strategy Games,1,2,4,4,4.0,126,,,,
Betrayal Legacy ,2018,4621,7.69024,6.94549,1.77147,2.8861,79,23917,Thematic Games,1,3,5,5,5.0,61,,,,
Junk Art ,2016,7148,7.37557,6.94546,1.24148,1.2211,95,25185,Family Games,1,2,6,4,6.0,57,Party Games,1,,
Pan Am ,2020,5199,7.54615,6.94502,1.0956,2.4152,171,11678,Strategy Games,1,2,4,3,4.0,126,,,,
Fantastic Factories ,2019,5836,7.46623,6.94478,1.16343,2.2207,145,26620,Family Games,1,1,5,3,3.0,112,Strategy Games,1,,
"Air, Land, & Sea ",2019,5734,7.46055,6.94312,1.14575,1.7255,102,18491,Strategy Games,1,2,2,2,2.0,37,Wargames,1,,
1775: Rebellion ,2013,4192,7.6418,6.94126,1.23769,2.3107,280,8884,Wargames,1,2,4,2,2.0,125,,,,
"Labyrinth: The War on Terror, 2001 – ? ",2010,4869,7.5837,6.94071,1.53074,3.6501,483,11725,Strategy Games,1,1,2,2,2.0,127,Wargames,1,,
Friday ,2011,20524,7.1149,6.93975,1.23478,2.158,867,126032,Strategy Games,1,1,1,1,1.0,355,,,,
Wayfarers of the South Tigris ,2022,3110,7.8852,6.93945,1.27122,3.7759,174,11264,Strategy Games,1,1,3,2,2.0,120,,,,
The Great Wall ,2021,3466,7.91672,6.93913,1.48118,3.8663,172,7391,Strategy Games,1,1,4,3,3.0,101,,,,
Raptor ,2015,9853,7.252,6.93804,1.20722,2.0711,239,29765,Strategy Games,1,2,2,2,2.0,81,,,,
Imperial Struggle ,2020,2386,8.27585,6.93711,1.43246,3.9946,185,4444,Strategy Games,1,2,2,2,2.0,53,Wargames,1,,
John Company: Second Edition ,2022,2166,8.33686,6.93639,1.67102,4.4323,229,5073,Strategy Games,1,1,1,4,5.0,104,Thematic Games,1,,
Imhotep ,2016,15147,7.14976,6.93464,1.1418,2.0217,322,46503,Family Games,1,2,4,4,4.0,205,,,,
Bohnanza ,1997,44514,7.04713,6.9342,1.29991,1.6696,2924,150550,Family Games,1,3,7,4,5.0,664,,,,
Black Rose Wars ,2019,3371,7.9822,6.93395,1.55231,3.4375,144,7329,Strategy Games,1,2,4,4,4.0,119,,,,
Potion Explosion ,2015,18425,7.12834,6.93352,1.19566,1.7671,322,117544,Family Games,1,2,4,2,3.0,229,,,,
Freedom: The Underground Railroad ,2013,4384,7.58273,6.93325,1.23205,2.8995,199,10196,Strategy Games,1,1,4,3,3.0,91,Thematic Games,1,,
1846: The Race for the Midwest ,2005,2811,7.93432,6.93313,1.38044,3.9814,161,17059,Strategy Games,1,3,5,4,4.0,84,,,,
Foundations of Rome ,2022,2810,8.02446,6.93306,1.34809,1.9886,88,9846,Strategy Games,1,2,4,4,4.0,56,,,,
CATAN ,1995,121749,7.10452,6.93227,1.49055,2.2992,7959,346381,Family Games,1,3,4,4,4.0,1880,Strategy Games,1,,
Blackout: Hong Kong ,2018,5645,7.44794,6.93142,1.25141,3.49,251,16662,Strategy Games,1,1,4,3,3.0,158,,,,
Railroad Ink: Deep Blue Edition ,2018,12171,7.19313,6.93122,1.19398,1.4722,216,111327,Family Games,1,1,6,2,2.0,135,,,,
Argent: The Consortium ,2015,4101,7.64063,6.93068,1.50497,3.7857,210,8162,Strategy Games,1,2,5,3,3.0,104,,,,
Thurn and Taxis ,2006,19696,7.09213,6.92639,1.17838,2.2598,1844,77109,Family Games,1,2,4,3,4.0,317,Strategy Games,1,,
Small World Underground ,2011,10813,7.24139,6.92312,1.27483,2.5863,394,12536,Family Games,1,2,5,4,4.0,84,Strategy Games,1,,
Dead Reckoning ,2022,2345,8.22479,6.92161,1.34275,3.379,124,7823,Strategy Games,1,1,4,3,3.0,89,,,,
Undaunted: North Africa ,2020,3285,7.85329,6.92103,1.26276,2.2537,67,9235,Wargames,1,2,2,2,2.0,39,,,,
Port Royal ,2014,16819,7.12362,6.92052,1.18689,1.6225,551,122606,Family Games,1,2,5,3,4.0,265,,,,
First Class: All Aboard the Orient Express! ,2016,5614,7.42327,6.9174,1.13816,2.8014,141,21170,Strategy Games,1,2,4,4,4.0,74,,,,
Escape Plan ,2019,4962,7.52318,6.91714,1.38376,3.669,290,10843,Strategy Games,1,1,5,4,4.0,149,,,,
Star Wars: X-Wing (Second Edition) ,2018,2830,8.07482,6.91694,1.56059,3.0952,63,19905,Customizable Games,1,2,2,2,2.0,35,Wargames,1,,
The Grizzled ,2015,14297,7.14502,6.91512,1.2878,1.9774,354,57426,Thematic Games,1,3,5,4,5.0,198,,,,
London ,2010,6532,7.33273,6.91433,1.26807,2.8852,453,19282,Strategy Games,1,2,4,3,3.0,154,,,,
Archipelago ,2012,8106,7.29817,6.91398,1.55922,3.7368,513,17046,Strategy Games,1,2,5,4,4.0,173,,,,
Ingenious ,2004,16895,7.10335,6.91373,1.19578,1.9093,1389,86318,Abstract Games,1,2,4,2,2.0,331,,,,
High Society ,1995,12618,7.14552,6.91301,1.23559,1.4829,644,57672,Family Games,1,3,5,4,5.0,197,,,,
Alhambra ,2003,32713,7.03209,6.91176,1.18337,2.1003,2353,114717,Family Games,1,2,5,3,3.0,738,Strategy Games,1,,
TZAAR ,2007,3723,7.6619,6.9114,1.32102,2.5185,216,17470,Abstract Games,1,2,2,2,2.0,39,,,,
Madeira ,2013,4383,7.55552,6.91138,1.51335,4.304,454,11096,Strategy Games,1,2,4,4,4.0,104,,,,
Time's Up! Title Recall! ,2008,3533,7.69473,6.91133,1.51637,1.1868,91,14528,Party Games,1,4,4,6,6.0,36,,,,
The Fox in the Forest ,2017,14443,7.12288,6.91049,1.22418,1.5615,260,45735,Family Games,1,2,2,2,2.0,98,,,,
Legends of Andor ,2012,18454,7.12836,6.90895,1.46855,2.7626,771,48951,Thematic Games,1,1,4,4,4.0,345,,,,
Libertalia ,2012,13991,7.1242,6.90856,1.2809,2.239,502,34511,Strategy Games,1,3,6,4,4.0,225,,,,
Fleet: The Dice Game ,2018,3666,7.67326,6.90647,1.14849,2.5059,85,20000,Strategy Games,1,1,4,2,2.0,58,,,,
Airlines Europe ,2011,7326,7.29733,6.90541,1.1817,2.4359,429,17351,Family Games,1,3,5,4,4.0,163,Strategy Games,1,,
RoboRally ,1994,23681,7.06263,6.90384,1.54492,2.4291,1741,51227,Strategy Games,1,3,8,5,6.0,295,Thematic Games,1,,
Sushi Go! ,2013,44421,7.01209,6.90335,1.14802,1.1573,1240,222492,Family Games,1,3,5,4,4.0,427,,,,
Wabash Cannonball ,2007,8168,7.24638,6.90283,1.3426,2.7785,623,23980,Strategy Games,1,3,5,4,4.0,221,,,,
Euphoria: Build a Better Dystopia ,2013,10637,7.19346,6.90278,1.40226,3.1175,485,27207,Strategy Games,1,2,6,4,5.0,171,,,,
The Guild of Merchant Explorers ,2022,3304,7.75539,6.90269,1.05951,2.0303,66,16478,Family Games,1,1,4,2,2.0,72,Strategy Games,1,,
Elysium ,2015,9588,7.20113,6.9026,1.21816,2.7608,372,21357,Strategy Games,1,2,4,3,3.0,172,,,,
Love Letter: Premium Edition ,2016,5627,7.43965,6.90196,1.38259,1.3204,103,20555,Family Games,1,3,8,4,6.0,92,Party Games,1,,
Discworld: Ankh-Morpork ,2011,10257,7.24615,6.90192,1.37794,2.2054,589,23717,Thematic Games,1,2,4,4,4.0,206,,,,
One Night Ultimate Werewolf ,2014,26634,7.07065,6.8994,1.61576,1.3776,678,197956,Party Games,1,4,10,6,8.0,298,,,,
Camel Up ,2014,26330,7.04146,6.8981,1.23722,1.4777,896,92906,Family Games,1,3,7,4,5.0,377,,,,
Vikings ,2007,8389,7.2455,6.89769,1.20229,2.5427,702,37440,Strategy Games,1,2,4,3,3.0,223,,,,
Nova Luna ,2019,7512,7.30415,6.89745,1.16308,1.8785,214,62112,Abstract Games,1,1,4,2,2.0,169,,,,
BattleCON: Devastation of Indines ,2013,3244,7.84002,6.89693,1.64669,3.0875,160,11406,Strategy Games,1,1,5,2,2.0,79,,,,
Sentinels of the Multiverse ,2011,15859,7.15549,6.89655,1.68769,2.5121,742,92327,Thematic Games,1,1,5,4,4.0,339,,,,
Roads & Boats ,1999,3352,7.71169,6.89652,1.64954,4.194,366,6726,Strategy Games,1,1,4,2,2.0,74,,,,
Runebound (Third Edition) ,2015,5984,7.46475,6.89574,1.40893,2.7172,198,11559,Thematic Games,1,1,3,2,2.0,202,,,,
Valeria: Card Kingdoms ,2016,5524,7.45344,6.89531,1.266,1.9776,134,24961,Family Games,1,2,4,3,3.0,89,Strategy Games,1,,
Last Will ,2011,10197,7.17137,6.89503,1.17411,2.7203,472,24405,Strategy Games,1,2,5,4,4.0,113,,,,
Woodcraft ,2022,3388,7.75246,6.8949,1.27984,3.8472,216,11986,Strategy Games,1,1,3,3,3.0,104,,,,
MicroMacro: Crime City – Full House ,2021,3376,7.71413,6.8945,1.16539,1.2097,62,21826,Family Games,1,1,3,2,2.0,57,,,,
Karuba ,2015,10649,7.17596,6.89187,1.09716,1.4348,230,57286,Family Games,1,2,4,4,4.0,124,,,,
Egizia ,2009,5422,7.3933,6.89114,1.1957,2.8359,384,19461,Strategy Games,1,2,4,4,4.0,138,,,,
Akropolis ,2022,4648,7.53448,6.89087,1.12218,1.7699,113,33096,Family Games,1,2,4,3,3.0,82,,,,
Imperium: Legends ,2021,3064,7.8654,6.89037,1.39385,3.712,125,6596,Strategy Games,1,1,2,1,2.0,113,,,,
Queendomino ,2017,10469,7.18207,6.89033,1.15152,2.0479,188,28801,Family Games,1,2,4,2,2.0,113,,,,
Space Empires 4X ,2011,3762,7.69431,6.88988,1.52192,3.3871,310,8352,Wargames,1,1,4,2,2.0,122,,,,
In the Hall of the Mountain King ,2019,4084,7.63647,6.88957,1.19263,2.8272,162,8849,Strategy Games,1,2,5,3,4.0,112,,,,
Taj Mahal ,2000,7690,7.26742,6.88949,1.31912,2.9936,784,14461,Strategy Games,1,3,5,4,4.0,156,,,,
Tales of the Arabian Nights ,2009,12563,7.16771,6.88836,1.63982,2.1479,629,22223,Thematic Games,1,2,4,3,3.0,283,,,,
StarCraft: The Board Game ,2007,7472,7.3492,6.8878,1.58644,3.8494,797,10423,Strategy Games,1,2,6,4,4.0,224,Thematic Games,1,,
Vinhos ,2010,4826,7.47107,6.88767,1.48248,4.2034,472,8774,Strategy Games,1,2,4,4,4.0,110,,,,
Jamaica ,2007,19501,7.06314,6.88765,1.24835,1.6619,834,49999,Family Games,1,3,6,6,6.0,290,,,,
Las Vegas ,2012,10962,7.15667,6.88727,1.2275,1.1763,431,79340,Family Games,1,3,5,4,4.0,168,,,,
Aquatica ,2019,5669,7.38245,6.88674,1.18559,2.2969,128,17189,Strategy Games,1,2,4,3,3.0,90,,,,
Baseball Highlights: 2045 ,2015,4447,7.52085,6.88661,1.37518,2.1961,153,22143,Strategy Games,1,1,2,2,2.0,100,Thematic Games,1,,
Caper: Europe ,2022,3176,7.7756,6.88538,1.15621,2.1176,68,11701,Family Games,1,2,2,2,2.0,39,Strategy Games,1,,
Pathfinder Adventure Card Game: Rise of the Runelords – Base Set ,2013,12634,7.17685,6.88481,1.5901,2.7151,716,85720,Thematic Games,1,1,4,3,4.0,263,,,,
Libertalia: Winds of Galecrest ,2022,4735,7.50181,6.88387,1.28894,2.126,127,15227,Family Games,1,1,6,4,6.0,113,Strategy Games,1,,
Colosseum ,2007,8893,7.21042,6.88243,1.25645,2.756,746,17222,Family Games,1,3,5,5,5.0,130,Strategy Games,1,,
Atlantis Rising (Second Edition) ,2019,4063,7.58437,6.88228,1.27639,2.4242,99,8342,Strategy Games,1,1,7,4,4.0,80,,,,
Pax Porfiriana ,2012,3594,7.65861,6.88059,1.59727,3.6353,266,16635,Strategy Games,1,2,5,4,4.0,124,,,,
Through the Desert ,1998,13717,7.09126,6.87997,1.22456,2.2024,1408,36220,Abstract Games,1,2,5,3,3.0,246,Strategy Games,1,,
The LOOP ,2020,3373,7.77614,6.87895,1.22583,2.7593,108,14013,Strategy Games,1,1,4,2,2.0,102,,,,
DVONN ,2001,4960,7.45702,6.878,1.33902,2.6632,386,19312,Abstract Games,1,2,2,2,2.0,42,,,,
Nexus Ops ,2005,8817,7.20812,6.87609,1.25963,2.232,905,20129,Thematic Games,1,2,4,4,4.0,184,Wargames,1,,
The Colonists ,2016,4115,7.56082,6.87513,1.44117,4.0796,226,9958,Strategy Games,1,1,3,2,2.0,137,,,,
Etherfields ,2020,3442,7.98681,6.87397,1.91627,3.497,165,20233,Thematic Games,1,1,3,2,2.0,134,,,,
Broom Service ,2015,9982,7.16997,6.87075,1.25829,2.4026,308,23663,Family Games,1,2,5,4,4.0,194,Strategy Games,1,,
Carcassonne: Hunters and Gatherers ,2002,12698,7.12915,6.86996,1.24784,1.9219,1088,44486,Family Games,1,2,5,2,3.0,186,,,,
Distilled ,2023,2721,7.99493,6.86917,1.33453,2.9245,159,9513,Strategy Games,1,1,4,3,3.0,86,Thematic Games,1,,
QE ,2019,5028,7.40251,6.86892,1.23654,1.5393,89,16275,Strategy Games,1,3,5,5,5.0,82,,,,
AquaSphere ,2014,7273,7.25577,6.86881,1.33174,3.6759,395,15719,Strategy Games,1,2,4,4,4.0,134,,,,
Paperback ,2014,10630,7.13331,6.86812,1.21213,1.9929,282,35729,Family Games,1,2,4,2,2.0,133,Strategy Games,1,,
Draftosaurus ,2019,12393,7.1149,6.8663,1.12377,1.2538,264,121874,Family Games,1,2,5,4,4.0,162,,,,
Dice Throne: Season One ,2018,5579,7.52937,6.86348,1.49569,2.0795,88,19749,Family Games,1,2,4,2,2.0,77,,,,
Zombicide: 2nd Edition ,2021,2995,8.01957,6.86332,1.37641,2.4138,116,12668,Thematic Games,1,1,6,3,3.0,78,,,,
Tobago ,2009,11890,7.10083,6.86148,1.18519,2.1275,706,31404,Family Games,1,2,4,4,4.0,199,,,,
Triumph & Tragedy: European Balance of Power 1936-1945 ,2015,2237,8.14894,6.85882,1.41318,3.3837,172,5279,Wargames,1,3,3,3,3.0,95,,,,
Frostpunk: The Board Game ,2022,2221,8.32455,6.85798,1.57636,4.2803,239,6144,Strategy Games,1,1,2,1,2.0,181,Thematic Games,1,,
Automobile ,2009,5699,7.32862,6.85547,1.39877,3.5266,507,11729,Strategy Games,1,3,5,5,5.0,143,,,,
Evolution ,2014,16214,7.06768,6.85444,1.31661,2.4298,591,39134,Strategy Games,1,2,6,4,4.0,223,,,,
Star Trek: Ascendancy ,2016,3373,7.81783,6.85393,1.49005,3.1524,105,7208,Thematic Games,1,3,3,3,3.0,77,,,,
Unfathomable ,2021,4382,7.56995,6.85362,1.48133,3.0588,136,8196,Thematic Games,1,4,6,5,5.0,116,,,,
Cooper Island ,2019,3706,7.60252,6.85222,1.32954,4.1636,275,10366,Strategy Games,1,1,4,3,3.0,121,,,,
Silver & Gold ,2019,7444,7.21986,6.85162,1.0883,1.1667,132,47301,Family Games,1,2,4,3,4.0,67,,,,
Struggle of Empires ,2004,4169,7.52262,6.85134,1.47806,3.5919,544,6245,Strategy Games,1,4,7,5,7.0,147,,,,
Aeon Trespass: Odyssey ,2022,2046,9.16242,6.85085,1.64827,4.729,310,8550,Thematic Games,1,1,4,1,2.0,131,,,,
Carson City ,2009,7150,7.22298,6.84994,1.34175,3.1831,486,16862,Strategy Games,1,2,5,4,4.0,143,,,,
Crusaders: Thy Will Be Done ,2018,4193,7.48986,6.84956,1.13773,2.4496,129,13838,Strategy Games,1,2,4,3,4.0,64,,,,
Coup ,2012,44433,6.985,6.8494,1.42703,1.4127,1381,250444,Party Games,1,3,6,5,5.0,543,,,,
Star Wars: Destiny ,2016,5367,7.4581,6.84789,1.5793,2.4554,101,68062,Customizable Games,1,2,2,2,2.0,41,,,,
Hammer of the Scots ,2002,4099,7.52972,6.84755,1.38015,2.9673,490,7289,Wargames,1,2,2,2,2.0,53,,,,
Pax Renaissance: 2nd Edition ,2021,1660,8.55368,6.84751,1.48699,4.5805,174,6088,Strategy Games,1,2,4,2,3.0,76,,,,
The Battle of Five Armies ,2014,2813,7.88311,6.84706,1.2938,3.5921,152,4052,Thematic Games,1,2,2,2,2.0,34,Wargames,1,,
Unmatched: Little Red Riding Hood vs. Beowulf ,2020,2191,8.18503,6.84687,1.16923,1.913,23,2690,Strategy Games,1,2,2,2,2.0,12,,,,
Francis Drake ,2013,5096,7.37831,6.84684,1.25126,2.9197,249,8671,Strategy Games,1,4,5,5,5.0,101,,,,
Unlock!: Heroic Adventures ,2018,3376,7.64073,6.84614,1.28346,2.2051,39,9259,Thematic Games,1,1,4,2,2.0,31,,,,
Conan ,2016,4504,7.64604,6.84405,1.58195,2.7521,121,10049,Thematic Games,1,2,5,4,4.0,82,,,,
Cuba Libre ,2013,3218,7.69026,6.84354,1.2898,3.5837,233,7027,Wargames,1,1,4,4,4.0,87,,,,
A Game of Thrones ,2003,10512,7.17588,6.84272,1.58553,3.4507,1156,11537,Strategy Games,1,4,5,5,5.0,208,Wargames,1,,
Gears of War: The Board Game ,2011,5020,7.46882,6.84198,1.40541,2.8796,324,12719,Thematic Games,1,1,4,2,2.0,143,,,,
Photosynthesis ,2017,22575,7.00139,6.83897,1.26393,2.2578,446,40453,Abstract Games,1,2,4,3,3.0,282,Family Games,1,,
Thebes ,2007,9754,7.12804,6.83699,1.19896,2.1565,850,23073,Family Games,1,2,4,3,4.0,214,,,,
Blood Bowl (2016 Edition) ,2016,2650,7.98019,6.83676,1.51807,3.5472,53,11605,Thematic Games,1,2,2,2,2.0,23,,,,
Zombicide ,2012,18496,7.10751,6.83619,1.57391,2.5356,814,44748,Thematic Games,1,1,6,3,3.0,287,,,,
Quantum ,2013,7414,7.24381,6.83573,1.41148,2.474,289,20952,Strategy Games,1,2,4,4,4.0,134,,,,
Splendor: Marvel ,2020,3944,7.60526,6.83551,1.16309,1.8472,72,23777,Family Games,1,2,4,2,3.0,49,,,,
