Title,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,GameCategory_1,RankCategory_1,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes,GameCategory_2,RankCategory_2,GameCategory_3,RankCategory_3
Planet Unknown ,2022,5083,7.96898,7.2524,1.11602,2.2119,151,24527,Strategy Games,1,1,6,4,4.0,124,,,,
Detective: A Modern Crime Board Game ,2018,10070,7.69703,7.25222,1.63132,2.7524,210,21141,Thematic Games,1,1,4,2,2.0,213,,,,
Kanban: Driver's Edition ,2014,6703,7.79443,7.25087,1.44079,4.367,545,16598,Strategy Games,1,2,4,3,4.0,134,,,,
Flamme Rouge ,2016,17050,7.50389,7.25041,1.27664,1.6846,428,73109,Family Games,1,2,4,4,4.0,318,,,,
The Princes of Florence ,2000,15262,7.51277,7.25,1.35474,3.2432,1591,29134,Strategy Games,1,3,5,5,5.0,280,,,,
Sushi Go Party! ,2016,32528,7.40578,7.24947,1.14822,1.3066,587,127475,Family Games,1,2,8,4,5.0,289,,,,
Goa: A New Expedition ,2004,11395,7.56376,7.24442,1.28641,3.3724,1144,25388,Strategy Games,1,2,4,4,4.0,290,,,,
Chronicles of Crime ,2018,21331,7.61745,7.24359,1.42636,2.0649,339,47723,Thematic Games,1,1,3,2,2.0,339,,,,
"Unmatched: Battle of Legends, Volume One ",2019,7922,7.76528,7.24158,1.32781,1.9267,150,39171,Strategy Games,1,2,2,2,2.0,116,,,,
Santorini ,2016,37096,7.37789,7.24156,1.32818,1.7302,708,233762,Abstract Games,1,2,3,2,2.0,529,,,,
Fantasy Realms ,2017,13521,7.52543,7.24059,1.23235,1.7941,306,161983,Family Games,1,2,5,2,3.0,297,,,,
Isle of Skye: From Chieftain to King ,2015,24595,7.40068,7.23944,1.15261,2.2535,710,85621,Family Games,1,2,5,3,4.0,406,Strategy Games,1,,
Glory to Rome ,2005,14021,7.4891,7.23542,1.4041,2.9258,917,61473,Strategy Games,1,2,5,3,4.0,277,,,,
KLASK ,2014,9227,7.62713,7.23514,1.32346,1.0636,173,96923,Family Games,1,2,2,2,2.0,74,Party Games,1,,
Hero Realms ,2016,17039,7.53177,7.2343,1.22867,1.8622,283,107590,Strategy Games,1,2,4,2,2.0,201,,,,
Pulsar 2849 ,2017,8401,7.67193,7.23421,1.19503,3.3455,275,20161,Strategy Games,1,2,4,4,4.0,193,,,,
Hallertau ,2020,5110,7.92328,7.23155,1.18563,3.3025,238,19831,Strategy Games,1,1,4,2,2.0,152,,,,
Oathsworn: Into the Deepwood ,2022,2636,9.0548,7.23042,1.52092,3.5414,133,11621,Thematic Games,1,1,4,2,2.0,84,,,,
1830: Railways & Robber Barons ,1986,5472,7.86402,7.23038,1.60908,4.1606,573,14914,Strategy Games,1,3,6,4,5.0,132,,,,
Shogun ,2006,13766,7.52084,7.2301,1.34093,3.364,1239,18651,Strategy Games,1,3,5,4,5.0,261,,,,
Samurai ,1998,16025,7.46128,7.22655,1.195,2.4771,1484,48336,Strategy Games,1,2,4,3,3.0,341,,,,
Galaxy Trucker ,2007,33426,7.35613,7.22651,1.45458,2.3305,1552,90031,Thematic Games,1,2,4,4,4.0,451,,,,
1960: The Making of the President ,2007,9211,7.62209,7.22396,1.33418,3.2026,997,16640,Strategy Games,1,2,2,2,2.0,242,,,,
Camel Up (Second Edition) ,2018,10671,7.59126,7.22247,1.16841,1.457,221,35881,Family Games,1,3,8,5,6.0,139,Party Games,1,,
